""	"ID"	"symbol"
"1"	17610302	"LOC689435"
"2"	17610314	NA
"3"	17610316	NA
"4"	17610327	NA
"5"	17610330	"LOC682996"
"6"	17610335	"Vom2r3"
"7"	17610342	"Vom2r5"
"8"	17610349	"Vom2r6"
"9"	17610356	NA
"10"	17610361	NA
"11"	17610363	NA
"12"	17610368	"Vom2r3"
"13"	17610371	"Vom2r3"
"14"	17610374	NA
"15"	17610381	NA
"16"	17610386	NA
"17"	17610392	NA
"18"	17610394	NA
"19"	17610400	"Lrp11"
"20"	17610410	NA
"21"	17610416	NA
"22"	17610419	"Katna1"
"23"	17610432	"Ppil4"
"24"	17610448	"Zc3h12d"
"25"	17610457	NA
"26"	17610460	NA
"27"	17610462	NA
"28"	17610464	"Shprh"
"29"	17610500	"Fbxo30"
"30"	17610505	"Epm2a"
"31"	17610510	NA
"32"	17610512	NA
"33"	17610514	NA
"34"	17610516	NA
"35"	17610523	"Sf3b5"
"36"	17610527	NA
"37"	17610530	"Plagl1"
"38"	17610541	"Fuca2"
"39"	17610551	"Deadc1"
"40"	17610557	"Hivep2"
"41"	17610569	NA
"42"	17610571	NA
"43"	17610576	NA
"44"	17610578	NA
"45"	17610580	NA
"46"	17610582	"Cited2"
"47"	17610586	"Txlnb"
"48"	17610597	"LOC365050"
"49"	17610600	NA
"50"	17610611	"Reps1"
"51"	17610635	"RGD1308124"
"52"	17610647	"Perp"
"53"	17610653	NA
"54"	17610655	"Olig3"
"55"	17610659	"Ifngr1"
"56"	17610669	"Il22ra2"
"57"	17610677	"Il20ra"
"58"	17610687	NA
"59"	17610691	"RGD1306565"
"60"	17610750	"Map7"
"61"	17610773	NA
"62"	17610775	"Bclaf1"
"63"	17610790	"Bclaf1"
"64"	17610799	NA
"65"	17610801	"Ahi1"
"66"	17610827	"Hbs1l"
"67"	17610845	"Aldh8a1"
"68"	17610855	NA
"69"	17610857	NA
"70"	17610859	NA
"71"	17610865	NA
"72"	17610868	"Lama2"
"73"	17610933	NA
"74"	17610935	NA
"75"	17610961	"Tmem200a"
"76"	17610966	NA
"77"	17610968	NA
"78"	17610971	"LOC686032"
"79"	17610974	"Akap7"
"80"	17610983	NA
"81"	17610985	"Arg1"
"82"	17610996	"Enpp3"
"83"	17611024	"Enpp1"
"84"	17611050	"Taar9"
"85"	17611052	"Taar8c"
"86"	17611054	"Taar8b"
"87"	17611056	"Taar7a"
"88"	17611060	"Taar6"
"89"	17611062	"Rps12"
"90"	17611069	NA
"91"	17611071	NA
"92"	17611073	NA
"93"	17611079	"Eya4"
"94"	17611107	"Tcf21"
"95"	17611112	"Tbpl1"
"96"	17611123	NA
"97"	17611126	NA
"98"	17611128	"Clvs2"
"99"	17611137	NA
"100"	17611142	NA
"101"	17611148	NA
"102"	17611150	"Rnf217"
"103"	17611159	"Tpd52l1"
"104"	17611168	NA
"105"	17611170	"Hey2"
"106"	17611176	"Ncoa7"
"107"	17611198	NA
"108"	17611200	"Hint3"
"109"	17611207	"Trmt11"
"110"	17611222	NA
"111"	17611225	"Cenpw"
"112"	17611230	NA
"113"	17611232	"Rspo3"
"114"	17611240	NA
"115"	17611246	"Rnf146"
"116"	17611251	NA
"117"	17611253	NA
"118"	17611255	"RGD1311933"
"119"	17611262	NA
"120"	17611264	NA
"121"	17611268	"Lrrc14b"
"122"	17611272	"Sdha"
"123"	17611290	"Pdcd6"
"124"	17611299	"Ahrr"
