""	"probe_id"	"symbol"
"1"	"p44282_v4"	"DDX11L1"
"2"	"p44282_v4"	"WASH7P"
"3"	"A_23_P11744"	"WASH7P"
"4"	"A_33_P3365932"	"WASH7P"
"5"	"A_33_P3304908"	"WASH7P"
"6"	"A_33_P3365924"	"WASH7P"
"7"	"A_33_P3369266"	"WASH7P"
"8"	"p29521"	"MIR1302-2HG"
"9"	"p38847_v4"	"MIR1302-2HG"
"10"	"p36796_v4"	"FAM138A"
"11"	"A_21_P0001906"	"FAM138A"
"12"	"p8105"	"FAM138A"
"13"	"p36781_v4"	"FAM138A"
"14"	"p36797_v4"	"FAM138A"
"15"	"p1"	"AL627309.3"
"16"	"p1"	"AL627309.1"
"17"	"A_33_P3423563"	"AL627309.3"
"18"	"A_33_P3423563"	"AL627309.1"
"19"	"A_32_P230148"	"AL627309.3"
"20"	"A_32_P230148"	"AL627309.1"
"21"	"p36767_v4"	"AL627309.1"
"22"	"p36608_v4"	"AL627309.1"
"23"	"p40446_v4"	"AL627309.1"
"24"	"p22331"	"AL627309.1"
"25"	"p39208_v4"	"AL627309.1"
"26"	"p36770_v4"	"AL627309.1"
"27"	"p8485"	"AL627309.1"
"28"	"p758"	"AL627309.1"
"29"	"p33355"	"AL627309.1"
"30"	"A_21_P0012528"	"AL627309.1"
"31"	"p36714_v4"	"AL627309.1"
"32"	"A_33_P3314810"	"AL627309.1"
"33"	"A_33_P3314810"	"CICP27"
"34"	"A_33_P3254900"	"AL627309.1"
"35"	"A_33_P3254900"	"CICP27"
"36"	"A_21_P0001084"	"AL627309.5"
"37"	"p39197_v4"	"AL627309.5"
"38"	"A_33_P3304764"	"AL627309.5"
"39"	"A_21_P0001631"	"AL627309.5"
"40"	"p39573_v4"	"AL627309.5"
"41"	"p35592_v4"	"AL627309.5"
"42"	"p39203_v4"	"AL627309.5"
"43"	"p39575_v4"	"AL627309.5"
"44"	"p41915_v4"	"AL627309.5"
"45"	"p39205_v4"	"AL627309.5"
"46"	"p16"	"AL627309.5"
"47"	"A_21_P0000937"	"AL627309.4"
"48"	"A_21_P0000937"	"AL627309.5"
"49"	"p28966"	"AL627309.4"
"50"	"p28966"	"AL627309.5"
"51"	"p24577"	"AL627309.5"
"52"	"p24783"	"AL627309.5"
"53"	"p42008_v4"	"AL627309.5"
"54"	"A_21_P0010747"	"WASH9P"
"55"	"p25830"	"WASH9P"
"56"	"A_33_P3365924"	"WASH9P"
"57"	"p8484"	"AP006222.1"
"58"	"p33952_v4"	"AP006222.1"
"59"	"p33951_v4"	"AP006222.1"
"60"	"A_21_P0010750"	"AP006222.1"
"61"	"p6"	"AP006222.1"
"62"	"A_32_P230148"	"AP006222.2"
"63"	"A_32_P230148"	"AP006222.1"
"64"	"p36767_v4"	"AP006222.2"
"65"	"p36767_v4"	"AP006222.1"
"66"	"p36608_v4"	"AP006222.1"
"67"	"p40446_v4"	"AP006222.1"
"68"	"p22331"	"AP006222.1"
"69"	"p39207_v4"	"AP006222.1"
"70"	"p40444_v4"	"AP006222.1"
"71"	"p39208_v4"	"AP006222.1"
"72"	"p33952_v4"	"RPL23AP24"
"73"	"p33952_v4"	"AP006222.1"
"74"	"A_21_P0013051"	"AP006222.1"
"75"	"p36677_v4"	"AP006222.1"
"76"	"p36185_v4"	"AP006222.1"
"77"	"p36786_v4"	"AP006222.1"
"78"	"p36780_v4"	"AL732372.1"
"79"	"p36780_v4"	"AP006222.1"
"80"	"p39209_v4"	"AL732372.1"
"81"	"p39209_v4"	"AP006222.1"
"82"	"A_21_P0004980"	"AL732372.1"
"83"	"A_21_P0004980"	"AL732372.2"
"84"	"p36691_v4"	"AL732372.1"
"85"	"p36691_v4"	"AL732372.2"
"86"	"p34577_v4"	"AL732372.1"
"87"	"p34577_v4"	"AL732372.2"
"88"	"p17600"	"AL732372.2"
"89"	"A_21_P0010683"	"AL732372.2"
