""	"ID"	"symbol"
"1"	"ILMN_1825594"	""
"2"	"ILMN_1810803"	"LOC441782"
"3"	"ILMN_1722532"	"JMJD1A"
"4"	"ILMN_1884413"	""
"5"	"ILMN_1906034"	""
"6"	"ILMN_1861479"	""
"7"	"ILMN_1708805"	"NCOA3"
"8"	"ILMN_1874224"	""
"9"	"ILMN_1672526"	"LOC389834"
"10"	"ILMN_2185604"	"C17orf77"
"11"	"ILMN_1785107"	"NXT2"
"12"	"ILMN_1810805"	"KIAA1414"
"13"	"ILMN_1689711"	"CHKB"
"14"	"ILMN_1782551"	"E2F5"
"15"	"ILMN_1820586"	""
"16"	"ILMN_1838256"	""
"17"	"ILMN_1901322"	""
"18"	"ILMN_1715540"	"TRAIP"
"19"	"ILMN_2371280"	"CSF3R"
"20"	"ILMN_1891455"	""
"21"	"ILMN_1777550"	"ARL13A"
"22"	"ILMN_1788239"	"AMDHD1"
"23"	"ILMN_2148679"	"SDHAP3"
"24"	"ILMN_1859030"	""
"25"	"ILMN_1820420"	""
"26"	"ILMN_1656792"	"FLYWCH1"
"27"	"ILMN_1803590"	"PSRC2"
"28"	"ILMN_1876221"	""
"29"	"ILMN_1750625"	"RSPO4"
"30"	"ILMN_1689814"	"DUSP13"
"31"	"ILMN_1810345"	"LOC402282"
"32"	"ILMN_1654474"	"LOC643918"
"33"	"ILMN_1674694"	"LOC643918"
"34"	"ILMN_1762231"	"TCF8"
"35"	"ILMN_2052891"	"PKD2"
"36"	"ILMN_1713369"	"RPL13A"
"37"	"ILMN_1861261"	""
"38"	"ILMN_1800611"	"CEP72"
"39"	"ILMN_1883785"	""
"40"	"ILMN_1821541"	""
"41"	"ILMN_1734559"	"SORD"
"42"	"ILMN_1771827"	"AIF1"
"43"	"ILMN_1794912"	"ATP5H"
"44"	"ILMN_1697476"	"LOC643763"
"45"	"ILMN_1911873"	""
"46"	"ILMN_1710427"	"VPS37B"
"47"	"ILMN_1821680"	""
"48"	"ILMN_1688258"	"C20orf144"
"49"	"ILMN_1659082"	"ZCRB1"
"50"	"ILMN_1887349"	""
"51"	"ILMN_1651507"	"FLJ22028"
"52"	"ILMN_1694774"	"OR52J3"
"53"	"ILMN_1886491"	""
"54"	"ILMN_1800049"	"MAPT"
"55"	"ILMN_1756326"	"CKS2"
"56"	"ILMN_2072296"	"CKS2"
"57"	"ILMN_1893443"	""
"58"	"ILMN_1657079"	"LOC652077"
"59"	"ILMN_1724632"	"LOC653118"
"60"	"ILMN_1674650"	"C9orf95"
"61"	"ILMN_1809894"	"TMEM117"
"62"	"ILMN_1704305"	"NIP7"
"63"	"ILMN_1771174"	"KRTAP10-1"
"64"	"ILMN_1850320"	""
"65"	"ILMN_1766698"	"OR5T1"
"66"	"ILMN_1828161"	""
"67"	"ILMN_1739345"	"C11orf48"
"68"	"ILMN_2056569"	"FGF21"
"69"	"ILMN_1772789"	"FGF21"
"70"	"ILMN_1851972"	""
"71"	"ILMN_1700521"	"LOC650295"
"72"	"ILMN_1857120"	""
"73"	"ILMN_1730698"	"ODF2"
"74"	"ILMN_2354930"	"ANKRD7"
"75"	"ILMN_2414848"	"TBRG4"
"76"	"ILMN_1846444"	""
"77"	"ILMN_1829484"	""
"78"	"ILMN_1724986"	"WDR53"
"79"	"ILMN_2206411"	"CTAG1A"
"80"	"ILMN_2206413"	"CTAG1A"
"81"	"ILMN_1731785"	"ORM2"
"82"	"ILMN_1742967"	"LOC441177"
"83"	"ILMN_1885628"	""
"84"	"ILMN_1693771"	"ASPH"
"85"	"ILMN_1793182"	"SLC36A2"
"86"	"ILMN_1823046"	""
"87"	"ILMN_1740650"	"KCNQ4"
"88"	"ILMN_1665691"	"ACTN3"
"89"	"ILMN_2124236"	"C3orf42"
"90"	"ILMN_1893268"	""
"91"	"ILMN_1727740"	"SYNCRIP"
"92"	"ILMN_1699843"	"CRTC1"
"93"	"ILMN_1755353"	"LOC648683"
"94"	"ILMN_1767852"	"LOC651096"
"95"	"ILMN_1799466"	"MTX2"
"96"	"ILMN_1872032"	""
"97"	"ILMN_1821617"	""
"98"	"ILMN_2282352"	"PHYH"
"99"	"ILMN_2385566"	"PHYH"
"100"	"ILMN_1896459"	""
"101"	"ILMN_2409220"	"HMMR"
"102"	"ILMN_1907825"	""
"103"	"ILMN_1905647"	""
"104"	"ILMN_1659564"	"SEC61A1"
"105"	"ILMN_2386982"	"PRKCZ"
"106"	"ILMN_1915005"	""
"107"	"ILMN_1754507"	"IRF4"
"108"	"ILMN_1735908"	"UTP15"
"109"	"ILMN_1844469"	""
"110"	"ILMN_1855058"	""
"111"	"ILMN_1684693"	"LOC649466"
"112"	"ILMN_1709741"	"LOC653673"
"113"	"ILMN_2297824"	"UBE2G2"
"114"	"ILMN_1785179"	"UBE2G2"
"115"	"ILMN_1754017"	"FLJ11331"
"116"	"ILMN_1864714"	""
"117"	"ILMN_2073969"	"ABHD13"
"118"	"ILMN_1716766"	"CEBPG"
"119"	"ILMN_1821004"	""
"120"	"ILMN_1912535"	""
"121"	"ILMN_1802397"	"GNA11"
"122"	"ILMN_2224657"	"KLRG2"
"123"	"ILMN_1685781"	"C14orf142"
"124"	"ILMN_1843360"	""
"125"	"ILMN_1774330"	"KIAA0523"
"126"	"ILMN_1654663"	"LOC642843"
"127"	"ILMN_1868007"	""
"128"	"ILMN_1784884"	"LILRB3"
"129"	"ILMN_2406132"	"LILRB3"
"130"	"ILMN_1701308"	"COL1A1"
"131"	"ILMN_1695382"	"TSC22D3"
"132"	"ILMN_1825360"	""
"133"	"ILMN_1748563"	"LOC85391"
"134"	"ILMN_1864968"	""
"135"	"ILMN_1771720"	"LOC645162"
"136"	"ILMN_1721700"	"LOC642269"
"137"	"ILMN_1670693"	"LIPE"
"138"	"ILMN_1673721"	"EXO1"
"139"	"ILMN_1810604"	"ELMOD1"
"140"	"ILMN_1838351"	""
"141"	"ILMN_1667171"	"LOC651881"
"142"	"ILMN_1857761"	""
"143"	"ILMN_1891927"	""
"144"	"ILMN_1673586"	"SLC6A6"
"145"	"ILMN_1833640"	""
"146"	"ILMN_2229214"	"STOX1"
"147"	"ILMN_1664014"	"STOX1"
"148"	"ILMN_1880820"	""
"149"	"ILMN_2054442"	"ZNF146"
"150"	"ILMN_1699423"	"ZNF146"
"151"	"ILMN_1700766"	"FLJ45850"
"152"	"ILMN_1799320"	"C9orf37"
"153"	"ILMN_1791242"	"LOC644923"
"154"	"ILMN_1749175"	"LOC648040"
"155"	"ILMN_1872270"	""
"156"	"ILMN_1685631"	"KIAA0892"
"157"	"ILMN_1700690"	"VAT1"
"158"	"ILMN_1886122"	""
"159"	"ILMN_1877281"	""
"160"	"ILMN_1852827"	""
"161"	"ILMN_1680110"	"C10orf116"
"162"	"ILMN_1864691"	""
"163"	"ILMN_1868080"	""
"164"	"ILMN_1784834"	"OR52E6"
"165"	"ILMN_1737247"	"LOC139116"
"166"	"ILMN_1717706"	"PLK2"
"167"	"ILMN_1681886"	"ADAMTS5"
"168"	"ILMN_1765332"	"TIMM10"
"169"	"ILMN_1784040"	"NAPSA"
"170"	"ILMN_1717295"	"C6orf122"
"171"	"ILMN_2057359"	"TAF9B"
"172"	"ILMN_1792437"	"LOC348174"
"173"	"ILMN_1668880"	"AKR1C4"
"174"	"ILMN_1877132"	""
"175"	"ILMN_1663057"	"LOC645343"
"176"	"ILMN_1841997"	""
"177"	"ILMN_1710698"	"LOC648710"
"178"	"ILMN_1881678"	""
"179"	"ILMN_1777457"	"LOC652708"
"180"	"ILMN_1657302"	"SULT1A1"
"181"	"ILMN_1794866"	"LOC340113"
"182"	"ILMN_2200836"	"HSPB7"
"183"	"ILMN_1680927"	"CASC2"
