""	"ID"	"symbol"
"1"	"ILMN_1910180"	""
"2"	"ILMN_1725881"	"LOC23117"
"3"	"ILMN_1804174"	"FCGR2B"
"4"	"ILMN_1761580"	"TRIM44"
"5"	"ILMN_1758197"	"LOC653895"
"6"	"ILMN_1750100"	"TUBB4Q"
"7"	"ILMN_1782441"	"CDKL2"
"8"	"ILMN_1668162"	"DGAT2L3"
"9"	"ILMN_1715600"	"LOC387701"
"10"	"ILMN_1912287"	""
"11"	"ILMN_1889125"	""
"12"	"ILMN_1682799"	"STAMBPL1"
"13"	"ILMN_1909767"	""
"14"	"ILMN_1840770"	""
"15"	"ILMN_1906209"	""
"16"	"ILMN_1665311"	"STH"
"17"	"ILMN_1656744"	"LOC648054"
"18"	"ILMN_1663142"	"CLEC12A"
"19"	"ILMN_1711453"	"CLEC12A"
"20"	"ILMN_1816369"	""
"21"	"ILMN_1658628"	"C14orf72"
"22"	"ILMN_1718152"	"LOC91614"
"23"	"ILMN_1761911"	"SCYL1BP1"
"24"	"ILMN_1681855"	"OATL1"
"25"	"ILMN_1720944"	"LOC643426"
"26"	"ILMN_1778078"	"VPS16"
"27"	"ILMN_1661643"	"LOC643563"
"28"	"ILMN_1818577"	""
"29"	"ILMN_1891652"	""
"30"	"ILMN_1867080"	""
"31"	"ILMN_1817791"	""
"32"	"ILMN_1731506"	"PAX9"
"33"	"ILMN_1769158"	"ISOC2"
"34"	"ILMN_1660232"	"PEX5"
"35"	"ILMN_1685237"	"FLJ20718"
"36"	"ILMN_1849912"	""
"37"	"ILMN_1761836"	"ORC1L"
"38"	"ILMN_1773202"	"LOC389405"
"39"	"ILMN_1881453"	""
"40"	"ILMN_1849784"	""
"41"	"ILMN_1868399"	""
"42"	"ILMN_1865992"	""
"43"	"ILMN_1901891"	""
"44"	"ILMN_1846574"	""
"45"	"ILMN_1693210"	"NSMCE2"
"46"	"ILMN_1726198"	"HCTSL-s"
"47"	"ILMN_1825013"	""
"48"	"ILMN_1833369"	""
"49"	"ILMN_1693245"	"ZCCHC4"
"50"	"ILMN_1728889"	"FLJ32682"
"51"	"ILMN_1684523"	"LOC648628"
"52"	"ILMN_1901057"	""
"53"	"ILMN_1778717"	"DBF4"
"54"	"ILMN_1822159"	""
"55"	"ILMN_1870674"	""
"56"	"ILMN_1909228"	""
"57"	"ILMN_1734742"	"ARHGDIA"
"58"	"ILMN_1903204"	""
"59"	"ILMN_1699459"	"NEK1"
"60"	"ILMN_1655684"	"SARS2"
"61"	"ILMN_1735832"	"LOC650339"
"62"	"ILMN_1766125"	"LONP1"
