""	"probe_id"	"symbol"
"1"	"p00001"	"DDX11L1"
"2"	"p19946"	"DDX11L1"
"3"	"p19946"	"WASH7P"
"4"	"a00874"	"WASH7P"
"5"	"p20296"	"WASH7P"
"6"	"p27022"	"WASH7P"
"7"	"p03131"	"WASH7P"
"8"	"p06632"	"WASH7P"
"9"	"a25396"	"WASH7P"
"10"	"a26919"	"WASH7P"
"11"	"a29393"	"WASH7P"
"12"	"p13385"	"WASH7P"
"13"	"p13386"	"MIR1302-2HG"
"14"	"p20869"	"FAM138A"
"15"	"a18107"	"FAM138A"
"16"	"a17354"	"AL627309.3"
"17"	"a17354"	"AL627309.1"
"18"	"p24785"	"AL627309.1"
"19"	"p26359"	"AL627309.1"
"20"	"p18398"	"AL627309.4"
"21"	"p18398"	"AL627309.5"
"22"	"p24800"	"AL627309.5"
"23"	"a26920"	"WASH9P"
"24"	"p27022"	"WASH9P"
"25"	"p03131"	"WASH9P"
"26"	"p06632"	"WASH9P"
"27"	"a25396"	"WASH9P"
"28"	"a23638"	"WASH9P"
"29"	"a26919"	"WASH9P"
"30"	"a05243"	"AP006222.1"
"31"	"a12412"	"AP006222.1"
"32"	"a14139"	"AP006222.1"
"33"	"p21289"	"AP006222.2"
"34"	"p21289"	"AP006222.1"
"35"	"p10155"	"AP006222.1"
"36"	"a14139"	"RPL23AP24"
"37"	"a14139"	"AP006222.1"
"38"	"p11021"	"AP006222.1"
"39"	"p18051"	"AP006222.1"
"40"	"p18159"	"AL732372.2"
"41"	"p14927"	"AL732372.2"
"42"	"a21628"	"OR4F29"
"43"	"a21628"	"AL732372.2"
"44"	"p24785"	"AL732372.2"
"45"	"a07000"	"AL732372.2"
"46"	"p28217"	"AL732372.2"
"47"	"p11108"	"AL732372.2"
"48"	"p12889"	"AL732372.2"
"49"	"p13462"	"AL732372.2"
"50"	"p28145"	"AL732372.2"
"51"	"p11370"	"AL732372.2"
"52"	"p17126"	"AL732372.2"
"53"	"p11021"	"AL669831.3"
"54"	"p18051"	"AL669831.3"
"55"	"p17652"	"AC114498.1"
"56"	"p17652"	"AL669831.3"
"57"	"p18159"	"AL669831.3"
"58"	"p14927"	"AL669831.3"
"59"	"p15952"	"MTND2P28"
"60"	"p15952"	"AL669831.3"
"61"	"p26635"	"MTCO1P12"
"62"	"p26635"	"AL669831.3"
"63"	"a05709"	"MTCO1P12"
"64"	"a05709"	"AL669831.3"
"65"	"p17019"	"MTCO1P12"
"66"	"p17019"	"AL669831.3"
"67"	"p17804"	"MTCO2P12"
"68"	"p17804"	"AL669831.3"
"69"	"p18379"	"MTATP6P1"
"70"	"p18379"	"AL669831.3"
"71"	"a14421"	"MTCO3P12"
"72"	"a14421"	"AL669831.3"
"73"	"p18903"	"MTCO3P12"
"74"	"p18903"	"AL669831.3"
"75"	"a21628"	"OR4F16"
"76"	"a21628"	"AL669831.3"
"77"	"p25423"	"AL669831.3"
"78"	"p03132"	"AL669831.1"
"79"	"p03132"	"AL669831.3"
"80"	"p11108"	"AL669831.1"
"81"	"p11108"	"AL669831.3"
"82"	"p28168"	"AL669831.1"
"83"	"p28168"	"AL669831.3"
"84"	"p13462"	"AL669831.1"
"85"	"p13462"	"AL669831.3"
"86"	"p14214"	"AL669831.1"
"87"	"p14214"	"AL669831.3"
"88"	"p28145"	"AL669831.1"
"89"	"p28145"	"AL669831.3"
"90"	"p11370"	"AL669831.1"
"91"	"p11370"	"AL669831.3"
"92"	"a15446"	"AL669831.1"
"93"	"a15446"	"AL669831.3"
"94"	"p27338"	"AL669831.1"
"95"	"p27338"	"AL669831.3"
"96"	"p19479"	"AL669831.1"
"97"	"p19479"	"AL669831.3"
"98"	"p21169"	"AL669831.1"
"99"	"p21169"	"AL669831.3"
"100"	"p20297"	"AL669831.1"
"101"	"p20297"	"AL669831.3"
"102"	"p17848"	"AL669831.3"
"103"	"p17848"	"LINC01409"
"104"	"p28248"	"AL669831.4"
"105"	"p28248"	"AL669831.3"
"106"	"p28248"	"LINC01409"
"107"	"p16224"	"AL669831.4"
"108"	"p16224"	"AL669831.3"
"109"	"p16224"	"LINC01409"
"110"	"p14283"	"AL669831.4"
"111"	"p14283"	"AL669831.3"
"112"	"a25043"	"FAM87B"
"113"	"a25043"	"AL669831.3"
"114"	"a29659"	"FAM87B"
"115"	"a29659"	"AL669831.3"
"116"	"p18213"	"FAM87B"
"117"	"p18213"	"AL669831.3"
"118"	"p20338"	"LINC00115"
"119"	"p20338"	"LINC01128"
"120"	"p20338"	"AL669831.3"
"121"	"a02520"	"LINC00115"
"122"	"a02520"	"LINC01128"
"123"	"a02520"	"AL669831.3"
"124"	"p22393"	"LINC01128"
"125"	"a15776"	"LINC01128"
"126"	"p25574"	"LINC01128"
"127"	"p26608"	"LINC01128"
"128"	"p26608"	"FAM41C"
"129"	"a17901"	"FAM41C"
"130"	"a20128"	"TUBB8P11"
"131"	"a20128"	"FAM41C"
"132"	"p26863"	"AL645608.6"
"133"	"p26863"	"AL645608.2"
"134"	"p26863"	"AL645608.4"
"135"	"a30185"	"AL645608.6"
"136"	"a30185"	"AL645608.2"
"137"	"a30185"	"AL645608.4"
"138"	"a25007"	"LINC02593"
"139"	"p26923"	"LINC02593"
"140"	"a22559"	"LINC02593"
"141"	"a31006"	"SAMD11"
"142"	"a31006"	"NOC2L"
"143"	"a01934"	"SAMD11"
"144"	"a01934"	"NOC2L"
"145"	"a06527"	"NOC2L"
"146"	"a29936"	"KLHL17"
"147"	"a04869"	"PLEKHN1"
"148"	"p26965"	"PERM1"
"149"	"p26965"	"PLEKHN1"
"150"	"a01828"	"PERM1"
"151"	"a01828"	"PLEKHN1"
"152"	"a25650"	"HES4"
"153"	"a10962"	"ISG15"
"154"	"a06686"	"AL645608.5"
"155"	"a06686"	"AGRN"
"156"	"p27023"	"AL390719.1"
"157"	"a03116"	"C1orf159"
"158"	"a29631"	"C1orf159"
"159"	"a23323"	"C1orf159"
"160"	"p15675"	"LINC01342"
"161"	"a30177"	"LINC01342"
"162"	"a26143"	"TTLL10-AS1"
"163"	"a12543"	"TTLL10"
"164"	"a15075"	"TNFRSF18"
"165"	"a22599"	"TNFRSF4"
"166"	"p27090"	"SDF4"
"167"	"a22672"	"SDF4"
"168"	"a29128"	"B3GALT6"
"169"	"a17955"	"C1QTNF12"
"170"	"p27158"	"AL162741.1"
"171"	"p27220"	"UBE2J2"
"172"	"a12621"	"UBE2J2"
"173"	"a23937"	"UBE2J2"
"174"	"p27300"	"UBE2J2"
"175"	"a27765"	"UBE2J2"
"176"	"a27766"	"UBE2J2"
"177"	"p27368"	"SCNN1D"
"178"	"a29203"	"SCNN1D"
"179"	"a09035"	"SCNN1D"
"180"	"p21150"	"SCNN1D"
"181"	"a19425"	"ACAP3"
"182"	"a28686"	"ACAP3"
"183"	"a09430"	"INTS11"
"184"	"a09430"	"PUSL1"
"185"	"a21764"	"INTS11"
"186"	"a21764"	"PUSL1"
"187"	"a14176"	"INTS11"
"188"	"a13149"	"CPTP"
"189"	"a09998"	"CPTP"
"190"	"a25682"	"CPTP"
"191"	"a21500"	"CPTP"
"192"	"a21204"	"TAS1R3"
"193"	"a22641"	"TAS1R3"
"194"	"a03861"	"TAS1R3"
"195"	"a03861"	"DVL1"
"196"	"a06791"	"DVL1"
"197"	"a14454"	"MXRA8"
"198"	"a20048"	"AURKAIP1"
"199"	"a04721"	"CCNL2"
"200"	"a15320"	"CCNL2"
"201"	"a14698"	"CCNL2"
"202"	"a15840"	"MRPL20-AS1"
"203"	"p27443"	"MRPL20-AS1"
"204"	"p27443"	"MRPL20"
"205"	"a16026"	"MRPL20"
"206"	"a11153"	"ANKRD65"
"207"	"p15930"	"TMEM88B"
"208"	"a25570"	"TMEM88B"
"209"	"a29623"	"VWA1"
"210"	"a28540"	"VWA1"
"211"	"a12083"	"VWA1"
"212"	"a24081"	"ATAD3C"
"213"	"a20199"	"ATAD3C"
"214"	"a19412"	"ATAD3C"
"215"	"a24081"	"ATAD3B"
"216"	"a28582"	"ATAD3B"
"217"	"a25082"	"ATAD3B"
"218"	"a27994"	"ATAD3B"
"219"	"a25997"	"ATAD3A"
"220"	"p27499"	"ATAD3A"
"221"	"a16881"	"TMEM240"
"222"	"a18791"	"TMEM240"
"223"	"a09999"	"SSU72"
"224"	"a23457"	"SSU72"
"225"	"p27549"	"SSU72"
"226"	"p27605"	"AL645728.1"
"227"	"a27034"	"FNDC10"
"228"	"a18543"	"MIB2"
"229"	"a23851"	"MIB2"
"230"	"p20593"	"MIB2"
"231"	"a10552"	"MMP23B"
"232"	"p20440"	"MMP23B"
"233"	"a19240"	"CDK11B"
"234"	"a22719"	"CDK11B"
"235"	"a21714"	"CDK11B"
"236"	"a24100"	"CDK11B"
"237"	"a24101"	"CDK11B"
"238"	"p27785"	"FO704657.1"
"239"	"p27785"	"SLC35E2B"
"240"	"a16343"	"FO704657.1"
"241"	"a16343"	"SLC35E2B"
"242"	"a20325"	"SLC35E2B"
"243"	"a11984"	"SLC35E2B"
"244"	"a10552"	"MMP23A"
"245"	"p20440"	"MMP23A"
"246"	"a19240"	"CDK11A"
"247"	"a19240"	"AL031282.2"
"248"	"a22719"	"CDK11A"
"249"	"a22719"	"AL031282.2"
"250"	"a21714"	"CDK11A"
"251"	"a21714"	"AL031282.2"
"252"	"a24101"	"CDK11A"
"253"	"a24101"	"AL031282.2"
"254"	"p27785"	"AL031282.1"
"255"	"p27785"	"SLC35E2A"
"256"	"p27785"	"AL031282.2"
"257"	"a16343"	"AL031282.1"
"258"	"a16343"	"SLC35E2A"
"259"	"a16343"	"AL031282.2"
"260"	"a28726"	"AL031282.1"
"261"	"a28726"	"SLC35E2A"
"262"	"a28726"	"AL031282.2"
"263"	"a11984"	"SLC35E2A"
"264"	"a03791"	"NADK"
"265"	"a14838"	"NADK"
"266"	"a22009"	"NADK"
"267"	"a04827"	"GNB1"
"268"	"p27856"	"GNB1"
"269"	"p25858"	"GNB1"
"270"	"a09954"	"CALML6"
"271"	"a20646"	"TMEM52"
"272"	"a21968"	"TMEM52"
"273"	"a25344"	"CFAP74"
"274"	"a29820"	"CFAP74"
"275"	"a15982"	"CFAP74"
"276"	"a29286"	"CFAP74"
"277"	"a29287"	"CFAP74"
"278"	"p27927"	"AL391845.2"
"279"	"a05899"	"GABRD"
"280"	"a22674"	"PRKCZ"
"281"	"p27989"	"AL590822.2"
"282"	"p27989"	"PRKCZ"
"283"	"a12359"	"PRKCZ-AS1"
"284"	"a12359"	"PRKCZ"
"285"	"p28045"	"PRKCZ-AS1"
"286"	"p28045"	"PRKCZ"
"287"	"p28108"	"FAAP20"
"288"	"p28108"	"PRKCZ"
"289"	"a15270"	"FAAP20"
"290"	"a15270"	"PRKCZ"
"291"	"a09399"	"FAAP20"
"292"	"a09399"	"PRKCZ"
"293"	"a26561"	"FAAP20"
"294"	"a26561"	"PRKCZ"
"295"	"a20832"	"FAAP20"
"296"	"a26560"	"FAAP20"
"297"	"a29387"	"FAAP20"
"298"	"p22545"	"FAAP20"
"299"	"p28150"	"AL590822.1"
"300"	"p28150"	"FAAP20"
"301"	"a21985"	"AL590822.1"
"302"	"p28191"	"SKI"
"303"	"a06321"	"SKI"
"304"	"p28249"	"AL590822.3"
"305"	"p28249"	"MORN1"
"306"	"a21799"	"AL513477.1"
"307"	"a21799"	"MORN1"
