""	"ID"	"symbol"
"1"	"1007_s_at"	"DDR1 /// MIR4640"
"2"	"1053_at"	"RFC2"
"3"	"117_at"	"HSPA6"
"4"	"121_at"	"PAX8"
"5"	"1255_g_at"	"GUCA1A"
"6"	"1294_at"	"MIR5193 /// UBA7"
"7"	"1316_at"	"THRA"
"8"	"1320_at"	"PTPN21"
"9"	"1405_i_at"	"CCL5"
"10"	"1431_at"	"CYP2E1"
"11"	"1438_at"	"EPHB3"
"12"	"1487_at"	"ESRRA"
"13"	"1494_f_at"	"CYP2A6"
"14"	"1598_g_at"	"GAS6"
"15"	"160020_at"	"MMP14"
"16"	"1729_at"	"TRADD"
"17"	"1773_at"	"CHURC1-FNTB /// FNTB"
"18"	"177_at"	"PLD1"
"19"	"179_at"	"DTX2P1-UPK3BP1-PMS2P11"
"20"	"1861_at"	"BAD"
"21"	"200000_s_at"	"PRPF8"
"22"	"200001_at"	"CAPNS1"
"23"	"200002_at"	"RPL35"
"24"	"200003_s_at"	"MIR6805 /// RPL28"
"25"	"200004_at"	"EIF4G2"
"26"	"200005_at"	"EIF3D"
"27"	"200006_at"	"PARK7"
"28"	"200007_at"	"SRP14"
"29"	"200008_s_at"	"GDI2"
"30"	"200009_at"	"GDI2"
"31"	"200010_at"	"RPL11"
"32"	"200011_s_at"	"ARF3"
"33"	"200012_x_at"	"RPL21 /// RPL21P28 /// SNORA27 /// SNORD102"
"34"	"200013_at"	"RPL24"
"35"	"200014_s_at"	"HNRNPC"
"36"	"200015_s_at"	"SEPT2"
"37"	"200016_x_at"	"HNRNPA1 /// HNRNPA1P10"
"38"	"200017_at"	"RPS27A"
"39"	"200018_at"	"LOC100508408 /// RPS13 /// SNORD14B"
"40"	"200019_s_at"	"FAU"
"41"	"200020_at"	"TARDBP"
"42"	"200021_at"	"CFL1"
"43"	"200022_at"	"RPL18"
"44"	"200023_s_at"	"EIF3F"
"45"	"200024_at"	"RPS5"
"46"	"200025_s_at"	"RPL27"
"47"	"200026_at"	"RPL34"
"48"	"200027_at"	"NARS"
"49"	"200028_s_at"	"STARD7"
"50"	"200029_at"	"RPL19"
"51"	"200030_s_at"	"SLC25A3"
"52"	"200031_s_at"	"RPS11 /// SNORD35B"
"53"	"200032_s_at"	"RPL9"
"54"	"200033_at"	"DDX5 /// MIR3064 /// MIR5047"
"55"	"200034_s_at"	"RPL6"
"56"	"200035_at"	"CTDNEP1"
"57"	"200036_s_at"	"RPL10A"
"58"	"200037_s_at"	"CBX3"
"59"	"200038_s_at"	"C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C"
"60"	"200039_s_at"	"PSMB2"
"61"	"200040_at"	"KHDRBS1"
"62"	"200041_s_at"	"ATP6V1G2-DDX39B /// DDX39B /// SNORD84"
"63"	"200042_at"	"RTCB"
"64"	"200043_at"	"ERH"
"65"	"200044_at"	"GATC /// SRSF9"
"66"	"200045_at"	"ABCF1"
"67"	"200046_at"	"DAD1"
"68"	"200047_s_at"	"YY1"
"69"	"200048_s_at"	"JTB"
"70"	"200049_at"	"KAT7"
"71"	"200050_at"	"ZNF146"
"72"	"200051_at"	"SART1"
"73"	"200052_s_at"	"ILF2"
"74"	"200053_at"	"SPAG7"
"75"	"200054_at"	"ZPR1"
"76"	"200055_at"	"TAF10"
"77"	"200056_s_at"	"C1D"
"78"	"200057_s_at"	"NONO"
"79"	"200058_s_at"	"LOC101929240 /// SNRNP200"
"80"	"200059_s_at"	"RHOA"
"81"	"200060_s_at"	"RNPS1"
"82"	"200061_s_at"	"RPS24"
"83"	"200062_s_at"	"RPL30"
"84"	"200063_s_at"	"NPM1"
"85"	"200064_at"	"HSP90AB1"
