""	"ID"	"symbol"
"1"	"1415670_PM_at"	"Copg"
"2"	"1415671_PM_at"	"Atp6v0d1"
"3"	"1415672_PM_at"	"Golga7"
"4"	"1415673_PM_at"	"Psph"
"5"	"1415674_PM_a_at"	"Trappc4"
"6"	"1415675_PM_at"	"Dpm2"
"7"	"1415676_PM_a_at"	"Psmb5"
"8"	"1415677_PM_at"	"Dhrs1"
"9"	"1415678_PM_at"	"Ppm1a"
"10"	"1415679_PM_at"	"Psenen"
"11"	"1415680_PM_at"	"Anapc1"
"12"	"1415681_PM_at"	"Mrpl43"
"13"	"1415682_PM_at"	"Xpo7"
"14"	"1415683_PM_at"	"Nmt1"
"15"	"1415684_PM_at"	"Atg5"
"16"	"1415685_PM_at"	"Mtif2"
"17"	"1415686_PM_at"	"Rab14"
"18"	"1415687_PM_a_at"	"Psap"
"19"	"1415688_PM_at"	"Ube2g1"
"20"	"1415689_PM_s_at"	"Zkscan3"
"21"	"1415690_PM_at"	"Mrpl27"
"22"	"1415691_PM_at"	"Dlg1 /// LOC100047603"
"23"	"1415692_PM_s_at"	"Canx"
"24"	"1415693_PM_at"	"Derl1"
"25"	"1415694_PM_at"	"Wars"
"26"	"1415695_PM_at"	"Psma1"
"27"	"1415696_PM_at"	"Sar1a"
"28"	"1415697_PM_at"	"G3bp2"
"29"	"1415698_PM_at"	"Golm1"
"30"	"1415699_PM_a_at"	"Gps1"
"31"	"1415700_PM_a_at"	"Ssr3"
"32"	"1415701_PM_x_at"	"Rpl23"
"33"	"1415702_PM_a_at"	"Ctbp1 /// LOC100045360"
"34"	"1415703_PM_at"	"Huwe1"
"35"	"1415704_PM_a_at"	"Cdv3"
"36"	"1415705_PM_at"	"9130011J15Rik"
"37"	"1415706_PM_at"	"Copa"
"38"	"1415707_PM_at"	"Anapc2"
"39"	"1415708_PM_at"	"Tug1"
"40"	"1415709_PM_s_at"	"Gbf1"
"41"	"1415710_PM_at"	"Cox18"
"42"	"1415711_PM_at"	"Arfgef1"
"43"	"1415712_PM_at"	"Zranb1"
"44"	"1415713_PM_a_at"	"Ddx24"
"45"	"1415714_PM_a_at"	"Snrnp27"
"46"	"1415715_PM_at"	"Tmem129"
"47"	"1415716_PM_a_at"	"Rps27"
"48"	"1415717_PM_at"	"Rnf220"
"49"	"1415718_PM_at"	"LOC100044471 /// Sap30l"
"50"	"1415719_PM_s_at"	"Armc1"
"51"	"1415720_PM_s_at"	"Mad2l1bp"
"52"	"1415721_PM_a_at"	"Nat15"
"53"	"1415722_PM_a_at"	"Vta1"
"54"	"1415723_PM_at"	"Eif5"
"55"	"1415724_PM_a_at"	"Cdc42"
"56"	"1415725_PM_at"	"Rrn3"
"57"	"1415726_PM_at"	"Ankrd17"
"58"	"1415727_PM_at"	"Apoa1bp"
"59"	"1415728_PM_at"	"Pabpn1"
"60"	"1415729_PM_at"	"Pdpk1"
"61"	"1415730_PM_at"	"Cpsf7"
"62"	"1415731_PM_at"	"Angel2"
"63"	"1415732_PM_at"	"Bat5"
"64"	"1415733_PM_a_at"	"Tomm5"
"65"	"1415734_PM_at"	"Rab7"
"66"	"1415735_PM_at"	"Ddb1"
"67"	"1415736_PM_at"	"Pfdn5"
