""	"probe_id"	"symbol"
"1"	"A_23_P11744"	"WASH7P"
"2"	"A_33_P3304908"	"WASH7P"
"3"	"A_33_P3369266"	"WASH7P"
"4"	"p29521"	"MIR1302-2HG"
"5"	"p758"	"AL627309.1"
"6"	"p33355"	"AL627309.1"
"7"	"A_21_P0012528"	"AL627309.1"
"8"	"A_33_P3304764"	"AL627309.5"
"9"	"A_21_P0001631"	"AL627309.5"
"10"	"p28966"	"AL627309.4"
"11"	"p28966"	"AL627309.5"
"12"	"p24577"	"AL627309.5"
"13"	"p25830"	"WASH9P"
"14"	"p8484"	"AP006222.1"
"15"	"p23336"	"AP006222.2"
"16"	"p23336"	"AP006222.1"
"17"	"A_21_P0004980"	"AL732372.1"
"18"	"A_21_P0004980"	"AL732372.2"
"19"	"p758"	"AL732372.2"
"20"	"p759"	"AL732372.2"
"21"	"p17569"	"AL732372.2"
"22"	"p7"	"AC114498.1"
"23"	"p7"	"AL669831.3"
"24"	"p10"	"AC114498.1"
"25"	"p10"	"AL669831.3"
"26"	"p17599"	"AC114498.1"
"27"	"p17599"	"AL669831.3"
"28"	"p11"	"AC114498.1"
"29"	"p11"	"AL669831.3"
"30"	"A_23_P301925"	"MTCO1P12"
"31"	"A_23_P301925"	"AL669831.3"
"32"	"p26926"	"MTCO2P12"
"33"	"p26926"	"AL669831.3"
"34"	"p33355"	"AL669831.3"
"35"	"A_21_P0010748"	"AL669831.3"
"36"	"A_33_P3347511"	"CICP3"
"37"	"A_33_P3347511"	"AL669831.3"
"38"	"p3"	"AL669831.1"
"39"	"p3"	"AL669831.3"
"40"	"A_33_P3304764"	"AL669831.1"
"41"	"A_33_P3304764"	"AL669831.3"
"42"	"p17569"	"AL669831.1"
"43"	"p17569"	"AL669831.3"
"44"	"A_21_P0010684"	"AL669831.3"
"45"	"A_21_P0010684"	"LINC01409"
"46"	"p763"	"AL669831.3"
"47"	"p763"	"LINC01409"
"48"	"p766"	"AL669831.4"
"49"	"p766"	"AL669831.3"
"50"	"p766"	"LINC01409"
"51"	"p767"	"AL669831.4"
"52"	"p767"	"AL669831.3"
"53"	"p767"	"LINC01409"
"54"	"p764"	"AL669831.4"
"55"	"p764"	"AL669831.3"
"56"	"p764"	"LINC01409"
"57"	"A_21_P0010685"	"AL669831.4"
"58"	"A_21_P0010685"	"AL669831.3"
"59"	"A_21_P0010685"	"LINC01409"
"60"	"p769"	"AL669831.4"
"61"	"p769"	"AL669831.3"
"62"	"p769"	"LINC01409"
"63"	"p28968"	"AL669831.4"
"64"	"p28968"	"AL669831.3"
"65"	"p28968"	"LINC01409"
"66"	"A_21_P0010686"	"AL669831.4"
"67"	"A_21_P0010686"	"AL669831.3"
"68"	"A_21_P0010686"	"LINC01409"
