""	"ID"	"symbol"
"1"	7896736	NA
"2"	7896738	"OR4G2P"
"3"	7896740	"OR4F4"
"4"	7896742	"LOC728323"
"5"	7896744	"OR4F29"
"6"	7896746	"MT-TM"
"7"	7896748	"MT-TW"
"8"	7896750	"MT-TD"
"9"	7896752	"MT-TK"
"10"	7896754	"LOC100287497"
"11"	7896756	"FAM87B"
"12"	7896759	"LINC01128"
"13"	7896761	"SAMD11"
"14"	7896779	"KLHL17"
"15"	7896798	"PLEKHN1"
"16"	7896817	"ISG15"
"17"	7896822	"AGRN"
"18"	7896859	"MIR200B"
"19"	7896861	"MIR200A"
"20"	7896863	"MIR429"
"21"	7896865	"TTLL10"
"22"	7896878	"B3GALT6"
"23"	7896882	"SCNN1D"
"24"	7896908	"PUSL1"
"25"	7896917	"CPTP"
"26"	7896921	"TAS1R3"
"27"	7896929	"VWA1"
"28"	7896937	"ATAD3C"
"29"	7896952	"ATAD3A"
"30"	7896961	"ATAD3B"
"31"	7896983	"SSU72"
"32"	7896985	"MIB2"
"33"	7897006	"MMP23B"
"34"	7897026	"CALML6"
"35"	7897034	"GABRD"
"36"	7897044	"PRKCZ"
"37"	7897066	"C1orf86"
"38"	7897068	"SKI"
"39"	7897076	"MORN1"
"40"	7897078	"RER1"
"41"	7897089	"PLCH2"
"42"	7897119	"FAM213B"
"43"	7897128	"ACTRT2"
"44"	7897132	"PRDM16"
"45"	7897154	"ARHGEF16"
"46"	7897172	"TPRG1L"
"47"	7897179	"TP73"
"48"	7897196	"CCDC27"
"49"	7897210	"DFFB"
"50"	7897227	"AJAP1"
"51"	7897236	"KCNAB2"
"52"	7897257	"RNF207"
"53"	7897263	"RNF207"
"54"	7897277	"LINC00337"
"55"	7897280	"HES3"
"56"	7897286	"LOC100130071"
"57"	7897288	"ESPN"
"58"	7897293	"RNU6-731P"
"59"	7897295	"TAS1R1"
"60"	7897305	"ZBTB48"
"61"	7897322	"PHF13"
"62"	7897329	"THAP3"
"63"	7897339	"CAMTA1"
"64"	7897368	"RNU1-8P"
"65"	7897370	"VAMP3"
"66"	7897378	"PER3"
"67"	7897404	"PARK7"
"68"	7897416	"SLC45A1"
"69"	7897422	NA
"70"	7897424	"HMGN2P17"
"71"	7897426	"CA6"
"72"	7897439	NA
"73"	7897441	"H6PD"
"74"	7897449	"SPSB1"
"75"	7897460	"SLC25A33"
"76"	7897469	"TMEM201"
"77"	7897482	"PIK3CD"
"78"	7897509	"NMNAT1"
"79"	7897520	"RN7SKP269"
"80"	7897522	"RBP7"
"81"	7897527	"UBE4B"
"82"	7897559	"RNU6-828P"
"83"	7897561	"KIF1B"
"84"	7897620	"PGD"
"85"	7897632	"APITD1-CORT"
"86"	7897648	"PEX14"
"87"	7897661	"RN7SL614P"
"88"	7897663	"TARDBP"
"89"	7897675	"ANGPTL7"
"90"	7897683	"RNU6-291P"
"91"	7897685	"UBIAD1"
"92"	7897691	"PTCHD2"
"93"	7897714	"FBXO44"
"94"	7897728	"FBXO6"
"95"	7897737	"DRAXIN"
"96"	7897745	"AGTRAP"
"97"	7897753	"C1orf167"
"98"	7897774	"CLCN6"
"99"	7897801	"RNU5E-1"
"100"	7897803	"PLOD1"
"101"	7897824	"MFN2"
"102"	7897849	"MIIP"
"103"	7897860	"TNFRSF8"
"104"	7897877	"TNFRSF1B"
"105"	7897890	"VPS13D"
"106"	7897953	"SNORA59B"
"107"	7897955	"AADACL4"
"108"	7897960	"AADACL3"
"109"	7897964	NA
"110"	7897966	"C1orf158"
"111"	7897974	"PRAMEF12"
"112"	7897978	"PRAMEF14"
"113"	7897987	"PRAMEF2"
"114"	7897991	"PRAMEF8"
"115"	7897995	"RNU6-1072P"
"116"	7897997	"LOC391003"
"117"	7898002	"PRAMEF25"
"118"	7898007	"PRAMEF4"
"119"	7898012	"PRAMEF4"
"120"	7898020	"PRAMEF10"
"121"	7898026	"PRAMEF16"
"122"	7898030	"PRAMEF20"
"123"	7898034	"PRAMEF10"
"124"	7898040	"PRAMEF4"
"125"	7898048	"PRAMEF16"
"126"	7898052	"PRAMEF20"
"127"	7898057	"PDPN"
"128"	7898070	"PRDM2"
"129"	7898084	"KAZN"
"130"	7898102	"KAZN"
"131"	7898112	"TMEM51-AS1"
"132"	7898115	"TMEM51"
"133"	7898124	"FHAD1"
"134"	7898161	"EFHD2"
"135"	7898167	"CTRC"
"136"	7898176	"CELA2A"
"137"	7898184	"CELA2B"
"138"	7898192	"DNAJC16"
"139"	7898209	"CHCHD2P6"
"140"	7898211	"RSC1A1"
"141"	7898227	"PLEKHM2"
"142"	7898249	"SLC25A34"
"143"	7898256	"TMEM82"
"144"	7898263	"FBLIM1"
"145"	7898276	NA
"146"	7898278	"SPEN"
"147"	7898294	NA
"148"	7898296	"C1orf64"
"149"	7898300	"CLCNKA"
"150"	7898314	"CLCNKB"
"151"	7898328	"SZRD1"
"152"	7898337	"NECAP2"
"153"	7898350	"LOC102724970"
"154"	7898353	"FAM231A"
"155"	7898355	NA
"156"	7898357	"MST1"
"157"	7898371	"FAM231A"
"158"	7898373	NA
"159"	7898375	"RNVU1-18"
"160"	7898377	"CROCC"
"161"	7898405	NA
"162"	7898407	"LOC440570"
"163"	7898411	"RNVU1-18"
"164"	7898413	"PADI1"
"165"	7898431	"PADI3"
"166"	7898448	"PADI4"
"167"	7898466	"PADI6"
"168"	7898483	"ARHGEF10L"
"169"	7898516	"ACTL8"
"170"	7898521	"IGSF21"
"171"	7898533	"KLHDC7A"
"172"	7898535	NA
"173"	7898537	"PAX7"
"174"	7898549	"MRTO4"
"175"	7898556	"PQLC2"
"176"	7898568	"LOC644083"
"177"	7898570	"RN7SL277P"
"178"	7898572	"RNU4-28P"
"179"	7898574	"MINOS1"
"180"	7898582	"RPS14P3"
"181"	7898585	"NBL1"
"182"	7898594	"HTR6"
"183"	7898602	"OTUD3"
"184"	7898607	"RN7SL304P"
"185"	7898609	"PLA2G5"
"186"	7898616	"PLA2G2F"
"187"	7898623	"UBXN10"
"188"	7898627	"VWA5B1"
"189"	7898653	"FAM43B"
"190"	7898655	"CDA"
"191"	7898663	"PINK1"
"192"	7898673	"PPP1R11P1"
"193"	7898675	NA
"194"	7898677	"HS6ST1"
"195"	7898679	"NBPF3"
"196"	7898693	"ALPL"
"197"	7898707	"LDLRAD2"
"198"	7898713	"CELA3B"
"199"	7898721	"RN7SL386P"
"200"	7898723	"RNU6-776P"
"201"	7898725	"CELA3A"
"202"	7898732	"RN7SL186P"
"203"	7898734	"RNU6-776P"
"204"	7898736	"LINC00339"
"205"	7898739	"CDC42"
"206"	7898750	"ZBTB40"
"207"	7898773	"EPHA8"
"208"	7898793	"C1QA"
"209"	7898799	"C1QC"
"210"	7898805	"C1QB"
"211"	7898809	"EPHB2"
"212"	7898833	"KDM1A"
"213"	7898854	"RNU6-514P"
"214"	7898856	"RNU6-135P"
"215"	7898858	"C1orf213"
"216"	7898869	"MDS2"
"217"	7898875	"RPL11"
"218"	7898881	"TCEB3"
"219"	7898894	"PITHD1"
"220"	7898902	"LYPLA2"
"221"	7898910	"PNRC2"
"222"	7898916	"GRHL3"
"223"	7898939	"NIPAL3"
"224"	7898957	"RCAN3"
"225"	7898967	"NCMAP"
"226"	7898975	"SRRM1"
"227"	7898988	"CLIC4"
"228"	7898998	"RHD"
"229"	7899005	"TMEM50A"
"230"	7899016	"SDHD"
"231"	7899018	"TMEM57"
"232"	7899023	"LDLRAP1"
"233"	7899029	"MAN1C1"
"234"	7899043	"SEPN1"
"235"	7899057	"MTFR1L"
"236"	7899069	NA
"237"	7899071	"RNU6-110P"
"238"	7899073	NA
"239"	7899075	"EXTL1"
"240"	7899087	"PDIK1L"
"241"	7899093	"FAM110D"
"242"	7899096	"ZNF593"
"243"	7899101	"CNKSR1"
"244"	7899124	"CATSPER4"
"245"	7899134	"CEP85"
"246"	7899151	NA
"247"	7899153	"SH3BGRL3"
"248"	7899160	"CD52"
"249"	7899167	"LIN28A"
"250"	7899173	"DHDDS"
"251"	7899187	"HMGN2"
"252"	7899192	"RPS6KA1"
"253"	7899220	"ARID1A"
"254"	7899244	"PIGV"
"255"	7899251	"RN7SL165P"
"256"	7899253	"ZDHHC18"
"257"	7899265	"SFN"
"258"	7899273	"NUDC"
"259"	7899284	"TRNP1"
"260"	7899287	NA
"261"	7899289	"WDTC1"
"262"	7899310	"TMEM222"
"263"	7899323	"SYTL1"
"264"	7899343	"GPR3"
"265"	7899346	"TMA7"
"266"	7899348	"RNU6-424P"
"267"	7899350	"FAM76A"
"268"	7899361	"STX12"
"269"	7899375	"RNU6-1245P"
"270"	7899377	"PPP1R8"
"271"	7899392	"SCARNA1"
"272"	7899394	"THEMIS2"
"273"	7899407	"SMPDL3B"
"274"	7899417	"XKR8"
"275"	7899422	NA
"276"	7899424	"ATPIF1"
"277"	7899436	"SESN2"
"278"	7899448	"MED18"
"279"	7899455	"PHACTR4"
"280"	7899462	"RCC1"
"281"	7899480	"SNORA73A"
"282"	7899484	NA
"283"	7899486	"TRNAU1AP"
"284"	7899499	"RAB42"
"285"	7899502	"RNU11"
"286"	7899504	"GMEB1"
"287"	7899517	NA
"288"	7899519	"YTHDF2"
"289"	7899528	"OPRD1"
"290"	7899534	"EPB41"
"291"	7899560	NA
"292"	7899562	"PTPRU"
"293"	7899595	"MATN1-AS1"
"294"	7899600	"RN7SKP91"
"295"	7899602	NA
"296"	7899604	"ZCCHC17"
"297"	7899615	"SERINC2"
"298"	7899627	"TINAGL1"
"299"	7899643	"HCRTR1"
"300"	7899654	"KHDRBS1"
"301"	7899675	"TMEM39B"
"302"	7899688	"KPNA6"
"303"	7899703	"TXLNA"
"304"	7899719	"CCDC28B"
"305"	7899727	"IQCC"
"306"	7899737	"EIF3I"
"307"	7899750	"FAM167B"
"308"	7899753	"LCK"
"309"	7899774	"HDAC1"
"310"	7899790	"TSSK3"
"311"	7899795	"RN7SL122P"
"312"	7899797	"ZBTB8A"
"313"	7899811	NA
"314"	7899813	"RBBP4"
"315"	7899821	"KIAA1522"
"316"	7899829	"S100PBP"
"317"	7899841	"HPCA"
"318"	7899849	NA
"319"	7899851	"AZIN2"
"320"	7899870	"ZNF362"
"321"	7899882	"ZNF362"
"322"	7899884	"ZSCAN20"
"323"	7899898	"HMGB4"
"324"	7899905	"HMGB4"
"325"	7899909	"RNA5SP42"
"326"	7899911	"C1orf94"
"327"	7899921	"GJB5"
"328"	7899927	"GJB4"
"329"	7899932	"GJB3"
"330"	7899939	"GJA4"
"331"	7899943	"ZMYM1"
"332"	7899955	NA
"333"	7899957	"ZMYM4"
"334"	7899988	NA
"335"	7899990	"NCDN"
"336"	7900001	"TFAP2E"
"337"	7900009	"AGO4"
"338"	7900030	"AGO1"
"339"	7900051	"AGO3"
"340"	7900076	"TEKT2"
"341"	7900087	"ADPRHL2"
"342"	7900095	"MAP7D1"
"343"	7900119	"THRAP3"
"344"	7900129	"SH3D21"
"345"	7900144	"RNU6-636P"
"346"	7900146	"ZC3H12A"
"347"	7900157	"RPS27"
"348"	7900159	"DNALI1"
"349"	7900167	"CDCA8"
"350"	7900181	NA
"351"	7900183	"MANEAL"
"352"	7900192	"C1orf122"
"353"	7900197	"RNU6-584P"
"354"	7900201	"UTP11L"
"355"	7900212	"RNU6-753P"
"356"	7900214	"RNU6-605P"
"357"	7900216	"AKIRIN1"
"358"	7900228	"NDUFS5"
"359"	7900235	"MACF1"
"360"	7900336	NA
"361"	7900340	"BMP8A"
"362"	7900350	NA
"363"	7900352	"OXCT2"
"364"	7900354	"PPIE"
"365"	7900365	"MFSD2A"
"366"	7900382	"CAP1"
"367"	7900395	"RLF"
"368"	7900405	"RNU6-1237P"
"369"	7900407	NA
"370"	7900409	"TMCO2"
"371"	7900413	"ZMPSTE24"
"372"	7900426	"SMAP2"
"373"	7900438	"ZFP69B"
"374"	7900446	"ZFP69"
"375"	7900454	"EXO5"
"376"	7900461	"ZNF684"
"377"	7900468	"NFYC"
"378"	7900488	"MIR30E"
"379"	7900490	"MIR30C1"
"380"	7900492	"KCNQ4"
"381"	7900508	"RN7SL326P"
"382"	7900510	"CTPS1"
"383"	7900531	"GUCA2B"
"384"	7900538	NA
"385"	7900540	"RIMKLA"
"386"	7900546	"PPCS"
"387"	7900555	"CCDC30"
"388"	7900576	"PPIH"
"389"	7900585	"YBX1"
"390"	7900597	"C1orf50"
"391"	7900603	"LOC100129924"
"392"	7900609	"ERMAP"
"393"	7900624	"ZNF691"
"394"	7900633	"RNU6-880P"
"395"	7900635	"FAM183A"
"396"	7900639	"WDR65"
"397"	7900652	"RNA5SP46"
"398"	7900654	"TMEM125"
"399"	7900658	"TIE1"
"400"	7900683	"MPL"
"401"	7900699	"CDC20"
"402"	7900710	"SZT2"
"403"	7900792	"PTPRF"
"404"	7900833	"KDM4A"
"405"	7900857	"ST3GAL3"
"406"	7900876	"RNU6-1058P"
"407"	7900878	"ARTN"
"408"	7900888	"IPO13"
"409"	7900911	"DPH2"
"410"	7900922	"ATP6V0B"
"411"	7900931	"B4GALT2"
"412"	7900944	"CCDC24"
"413"	7900957	"KLF17"
"414"	7900962	"DMAP1"
"415"	7900977	"RNU6-369P"
"416"	7900979	"RNF220"
"417"	7900999	"C1orf228"
"418"	7901010	"KIF2C"
"419"	7901036	NA
"420"	7901038	"RPS8"
"421"	7901046	"SNORD55"
"422"	7901048	"SNORD46"
"423"	7901050	"SNORD38A"
"424"	7901052	"SNORD38B"
"425"	7901054	"PLK3"
"426"	7901071	"RNA5SP47"
"427"	7901073	"UROD"
"428"	7901087	"HPDL"
"429"	7901091	"TOE1"
"430"	7901102	"MMACHC"
"431"	7901110	"AKR1A1"
"432"	7901123	"NASP"
"433"	7901135	"TMEM69"
"434"	7901140	"MAST2"
"435"	7901175	"TSPAN1"
"436"	7901187	"LURAP1"
"437"	7901192	"RAD54L"
"438"	7901212	"UQCRH"
"439"	7901219	"NSUN4"
"440"	7901227	NA
"441"	7901229	"FAAH"
"442"	7901247	"DMBX1"
"443"	7901253	"TEX38"
"444"	7901256	"CYP4B1"
"445"	7901272	"CYP4X1"
"446"	7901287	"CYP4Z1"
"447"	7901293	"CYP4A22"
"448"	7901299	"CMPK1"
"449"	7901309	"FOXE3"
"450"	7901311	"FOXD2"
"451"	7901314	NA
"452"	7901316	"SLC5A9"
"453"	7901334	"RNU6-723P"
"454"	7901336	"STRADB"
"455"	7901338	"RNU4-61P"
"456"	7901340	NA
"457"	7901342	"ELAVL4"
"458"	7901357	NA
"459"	7901359	"RNU6-1026P"
"460"	7901361	NA
"461"	7901363	"CDKN2C"
"462"	7901374	NA
"463"	7901376	"RNF11"
"464"	7901383	"RNU6-877P"
"465"	7901385	"OSBPL9"
"466"	7901416	"RN7SL290P"
"467"	7901418	"BTF3L4"
"468"	7901426	"ZFYVE9"
"469"	7901443	"RN7SL788P"
"470"	7901445	NA
"471"	7901447	"PRPF38A"
"472"	7901460	"GPX7"
"473"	7901466	"FAM159A"
"474"	7901477	"RN7SL62P"
"475"	7901479	"ZYG11B"
"476"	7901495	NA
"477"	7901497	"ZYG11A"
"478"	7901513	"SCP2"
"479"	7901535	"PODN"
"480"	7901549	"CPT2"
"481"	7901557	"DMRTB1"
"482"	7901563	NA
"483"	7901565	"DIO1"
"484"	7901577	"LRRC42"
"485"	7901592	"TCEANC2"
"486"	7901601	"MRPL37"
"487"	7901611	"SSBP3-AS1"
"488"	7901613	"ACOT11"
"489"	7901634	"MROH7"
"490"	7901662	"TTC4"
"491"	7901675	"C1orf177"
"492"	7901687	"TMEM61"
"493"	7901691	"BSND"
"494"	7901696	"PCSK9"
"495"	7901710	NA
"496"	7901712	"RNU6-830P"
"497"	7901714	NA
"498"	7901720	"PRKAA2"
"499"	7901732	"C8A"
"500"	7901744	NA
"501"	7901746	NA
"502"	7901748	"FGGY"
"503"	7901765	"HOOK1"
"504"	7901788	"NFIA"
"505"	7901802	"MGC34796"
"506"	7901804	"INADL"
"507"	7901852	"RNU6-414P"
"508"	7901854	"RNU6-1177P"
"509"	7901856	"LAMTOR5P1"
"510"	7901858	"RN7SL180P"
"511"	7901860	"L1TD1"
"512"	7901867	"USP1"
"513"	7901883	"ANGPTL3"
"514"	7901895	"ATG4C"
"515"	7901911	NA
"516"	7901913	"FOXD3"
"517"	7901915	"ALG6"
"518"	7901931	"EFCAB7"
"519"	7901948	"DLEU2L"
"520"	7901951	"PGM1"
"521"	7901967	"RN7SL130P"
"522"	7901969	"ROR1"
"523"	7901982	"UBE2U"
"524"	7901993	"CACHD1"
"525"	7902023	"RAVER2"
"526"	7902036	NA
"527"	7902038	"AK4"
"528"	7902043	"DNAJC6"
"529"	7902072	NA
"530"	7902074	"LEPR"
"531"	7902102	NA
"532"	7902104	"PDE4B"
"533"	7902127	"SGIP1"
"534"	7902158	"TCTEX1D1"
"535"	7902166	"MIER1"
"536"	7902189	"IL23R"
"537"	7902203	"RNU6-586P"
"538"	7902205	"IL12RB2"
"539"	7902223	"RNU6-387P"
"540"	7902225	"RNU6-1031P"
"541"	7902227	"GADD45A"
"542"	7902235	"LRRC7"
"543"	7902265	"RN7SL538P"
"544"	7902267	"PIN1P1"
"545"	7902269	"SRSF11"
"546"	7902282	"HHLA3"
"547"	7902290	"CTH"
"548"	7902306	NA
"549"	7902308	"FPGT"
"550"	7902317	"FPGT-TNNI3K"
"551"	7902345	"TYW3"
"552"	7902353	"LHX8"
"553"	7902365	"RNU6-622P"
"554"	7902367	"ACADM"
"555"	7902382	"RABGGTB"
"556"	7902396	"SNORD45C"
"557"	7902398	"SNORD45A"
"558"	7902400	"SNORD45B"
"559"	7902402	"MSH4"
"560"	7902425	"ST6GALNAC3"
"561"	7902435	"TPI1P1"
"562"	7902439	"RNU6-161P"
"563"	7902441	"ST6GALNAC5"
"564"	7902448	"RPL17"
"565"	7902452	"AK5"
"566"	7902472	"RNA5SP20"
"567"	7902474	"RN7SL370P"
"568"	7902476	"FAM73A"
"569"	7902493	"FAM73A"
"570"	7902495	"NEXN"
"571"	7902512	"DNAJB4"
"572"	7902518	"GIPC2"
"573"	7902527	"PTGFR"
"574"	7902541	"IFI44L"
"575"	7902553	"IFI44"
"576"	7902563	"RN7SKP247"
"577"	7902565	"LPHN2"
"578"	7902592	"ARID3B"
"579"	7902594	"PRKACB"
"580"	7902611	"LOC100128775"
"581"	7902615	NA
"582"	7902617	"SAMD13"
"583"	7902623	"DNASE2B"
"584"	7902634	"RPF1"
"585"	7902645	"SPATA1"
"586"	7902660	"WDR63"
"587"	7902685	NA
"588"	7902687	"CYR61"
"589"	7902700	NA
"590"	7902702	"CLCA2"
"591"	7902721	"CLCA1"
"592"	7902738	"CLCA4"
"593"	7902754	"CLCA3P"
"594"	7902771	"SH3GLB1"
"595"	7902787	NA
"596"	7902789	"HS2ST1"
"597"	7902799	"LINC01140"
"598"	7902808	"LINC01140"
"599"	7902810	"LMO4"
"600"	7902822	"PKN2"
"601"	7902848	"RNU6-125P"
"602"	7902850	"GBP6"
"603"	7902861	"LRRC8B"
"604"	7902874	"LRRC8C"
"605"	7902883	"LRRC8D"
"606"	7902891	"ZNF326"
"607"	7902909	NA
"608"	7902911	NA
"609"	7902913	"CDC7"
"610"	7902930	"HSP90B3P"
"611"	7902934	"BRDT"
"612"	7902957	"EPHX4"
"613"	7902965	"BTBD8"
"614"	7902977	"KIAA1107"
"615"	7902984	"C1orf146"
"616"	7902992	"RPAP2"
"617"	7903008	NA
"618"	7903010	"RPL5"
"619"	7903022	"SNORD21"
"620"	7903024	NA
"621"	7903026	"RNU6-210P"
"622"	7903028	"RN7SKP123"
"623"	7903030	NA
"624"	7903032	"MTF2"
"625"	7903049	"CCDC18"
"626"	7903079	"DR1"
"627"	7903090	NA
"628"	7903092	"FNBP1L"
"629"	7903109	NA
"630"	7903111	NA
"631"	7903113	NA
"632"	7903115	NA
"633"	7903117	"GAPDHP29"
"634"	7903119	"ABCD3"
"635"	7903144	"SLC44A3"
"636"	7903162	"TMEM56"
"637"	7903171	"RWDD3"
"638"	7903181	"RNU1-130P"
"639"	7903183	"EEF1A1P11"
"640"	7903186	"RN7SL831P"
"641"	7903188	"PTBP2"
"642"	7903203	"SNX7"
"643"	7903214	"LPPR4"
"644"	7903227	"PALMD"
"645"	7903239	"AGL"
"646"	7903281	"SLC35A3"
"647"	7903292	"RNU6-750P"
"648"	7903294	"HIAT1"
"649"	7903308	"TRMT13"
"650"	7903321	"RTCA"
"651"	7903334	"CDC14A"
"652"	7903355	"GPR88"
"653"	7903358	"VCAM1"
"654"	7903369	"SLC30A7"
"655"	7903389	NA
"656"	7903391	NA
"657"	7903393	"S1PR1"
"658"	7903399	"RNU6-352P"
"659"	7903401	"DNAJA1P5"
"660"	7903404	"RNPC3"
"661"	7903407	"AMY2B"
"662"	7903414	"AMY2A"
"663"	7903425	"AMY2A"
"664"	7903440	"AMY2A"
"665"	7903455	NA
"666"	7903457	"PRMT6"
"667"	7903461	"NTNG1"
"668"	7903474	NA
