""	"probe_id"	"symbol"
"1"	"CUST_8232_PI419771968"	"4933401J01Rik"
"2"	"CUST_1607_PI419771968"	"Xkr4"
"3"	"CUST_17683_PI419772161"	"Xkr4"
"4"	"CUST_11324_PI419771968"	"Gm37686"
"5"	"CUST_11324_PI419771968"	"Xkr4"
"6"	"CUST_1608_PI419771968"	"Gm19938"
"7"	"CUST_1608_PI419771968"	"Xkr4"
"8"	"CUST_16070_PI419772161"	"Rp1"
"9"	"CUST_12613_PI419771968"	"Gm37483"
"10"	"CUST_12613_PI419771968"	"Rp1"
"11"	"CUST_18352_PI419772161"	"Sox17"
"12"	"CUST_11309_PI419771968"	"Gm37587"
"13"	"CUST_12868_PI419772161"	"Mrpl15"
"14"	"CUST_1609_PI419771968"	"Mrpl15"
"15"	"CUST_5642_PI419772161"	"Lypla1"
"16"	"CUST_5642_PI419772161"	"Gm37988"
"17"	"CUST_10898_PI419771968"	"Gm37988"
"18"	"CUST_11853_PI419772161"	"Tcea1"
"19"	"CUST_11853_PI419772161"	"Gm37988"
"20"	"CUST_11113_PI419771968"	"Tcea1"
"21"	"CUST_17411_PI419772161"	"Tcea1"
"22"	"CUST_17415_PI419772161"	"Tcea1"
"23"	"CUST_17413_PI419772161"	"Tcea1"
"24"	"CUST_2473_PI419772161"	"Rgs20"
"25"	"CUST_11015_PI419771968"	"Rgs20"
"26"	"CUST_11071_PI419772161"	"Atp6v1h"
"27"	"CUST_15527_PI419772161"	"Oprk1"
"28"	"CUST_1516_PI419771968"	"4732440D04Rik"
"29"	"CUST_1516_PI419771968"	"Rb1cc1"
"30"	"CUST_1610_PI419771968"	"Rb1cc1"
"31"	"CUST_611_PI419771968"	"Rb1cc1"
"32"	"CUST_20578_PI419772161"	"Rb1cc1"
"33"	"CUST_1611_PI419771968"	"Alkal1"
"34"	"CUST_236_PI421760821"	"St18"
"35"	"CUST_717_PI421760821"	"St18"
"36"	"CUST_11552_PI419771968"	"St18"
"37"	"CUST_235_PI421760821"	"St18"
"38"	"CUST_716_PI421760821"	"St18"
"39"	"CUST_9702_PI419772161"	"St18"
"40"	"CUST_455_PI419771968"	"Pcmtd1"
"41"	"CUST_4158_PI419772161"	"Pcmtd1"
"42"	"CUST_1612_PI419771968"	"Gm26901"
"43"	"CUST_2537_PI419771968"	"Gm26901"
"44"	"CUST_1613_PI419771968"	"Gm26901"
"45"	"CUST_17174_PI419772161"	"Sntg1"
"46"	"CUST_16149_PI419772161"	"Sntg1"
"47"	"CUST_2806_PI419771968"	"Sntg1"
"48"	"CUST_16682_PI419772161"	"Rrs1"
"49"	"CUST_1614_PI419771968"	"Adhfe1"
"50"	"CUST_1614_PI419771968"	"2610203C22Rik"
"51"	"CUST_17740_PI419772161"	"Adhfe1"
"52"	"CUST_17740_PI419772161"	"2610203C22Rik"
"53"	"CUST_1615_PI419771968"	"Vxn"
"54"	"CUST_1615_PI419771968"	"2610203C22Rik"
"55"	"CUST_11077_PI419772161"	"Vxn"
"56"	"CUST_11077_PI419772161"	"2610203C22Rik"
"57"	"CUST_6028_PI419772161"	"Mybl1"
"58"	"CUST_577_PI419771968"	"Vcpip1"
"59"	"CUST_3056_PI419772161"	"Vcpip1"
"60"	"CUST_1616_PI419771968"	"1700034P13Rik"
"61"	"CUST_676_PI419771968"	"Sgk3"
"62"	"CUST_9477_PI419772161"	"Mcmdc2"
"63"	"CUST_13602_PI419771968"	"Snhg6"
"64"	"CUST_13602_PI419771968"	"Mcmdc2"
"65"	"CUST_7593_PI419772161"	"E330040D14Rik"
"66"	"CUST_7593_PI419772161"	"Ppp1r42"
"67"	"CUST_11386_PI419772161"	"Ppp1r42"
"68"	"CUST_10312_PI419772161"	"Cops5"
"69"	"CUST_7081_PI419771968"	"1700047N06Rik"
"70"	"CUST_7081_PI419771968"	"Cspp1"
"71"	"CUST_12020_PI419771968"	"Cspp1"
"72"	"CUST_12689_PI419771968"	"Cspp1"
"73"	"CUST_621_PI419772161"	"Cspp1"
"74"	"CUST_11245_PI419772161"	"Arfgef1"
"75"	"CUST_14734_PI419772161"	"Cpa6"
"76"	"CUST_8786_PI419772161"	"Prex2"
"77"	"CUST_8787_PI419772161"	"Prex2"
"78"	"CUST_18170_PI419772161"	"A830018L16Rik"
"79"	"CUST_18169_PI419772161"	"A830018L16Rik"
"80"	"CUST_11080_PI419771968"	"A830018L16Rik"
"81"	"CUST_18167_PI419772161"	"A830018L16Rik"
"82"	"CUST_18168_PI419772161"	"A830018L16Rik"
"83"	"CUST_9421_PI419771968"	"Gm17644"
"84"	"CUST_18554_PI419772161"	"Sulf1"
"85"	"CUST_13912_PI419772161"	"Slco5a1"
"86"	"CUST_13622_PI419772161"	"Prdm14"
"87"	"CUST_20532_PI419772161"	"Ncoa2"
"88"	"CUST_20542_PI419772161"	"Ncoa2"
"89"	"CUST_7299_PI419771968"	"Ncoa2"
"90"	"CUST_1617_PI419771968"	"Gm38120"
"91"	"CUST_1617_PI419771968"	"Ncoa2"
"92"	"CUST_11380_PI419772161"	"Tram1"
"93"	"CUST_11022_PI419772161"	"Lactb2"
"94"	"CUST_11030_PI419772161"	"Xkr9"
"95"	"CUST_17434_PI419772161"	"Eya1"
"96"	"CUST_12626_PI419772161"	"Msc"
"97"	"CUST_12626_PI419772161"	"Gm9947"
"98"	"CUST_11553_PI419771968"	"Gm9947"
"99"	"CUST_1618_PI419771968"	"Gm9947"
"100"	"CUST_9519_PI419771968"	"Gm37412"
"101"	"CUST_20921_PI419772161"	"Trpa1"
"102"	"CUST_9042_PI419771968"	"Kcnb2"
"103"	"CUST_10428_PI419772161"	"Kcnb2"
"104"	"CUST_16521_PI419772161"	"Terf1"
"105"	"CUST_18722_PI419772161"	"Gm37509"
"106"	"CUST_18722_PI419772161"	"Sbspon"
"107"	"CUST_1619_PI419771968"	"4930444P10Rik"
"108"	"CUST_22248_PI419772161"	"Rpl7"
"109"	"CUST_11039_PI419772161"	"Rdh10"
"110"	"CUST_10567_PI419772161"	"Gm28095"
"111"	"CUST_10567_PI419772161"	"Stau2"
"112"	"CUST_10546_PI419772161"	"Gm28095"
"113"	"CUST_10546_PI419772161"	"Stau2"
"114"	"CUST_9147_PI419772161"	"Ube2w"
"115"	"CUST_8734_PI419771968"	"Ube2w"
"116"	"CUST_12772_PI419772161"	"Eloc"
"117"	"CUST_12158_PI419771968"	"D030040B21Rik"
"118"	"CUST_1126_PI419772161"	"Tmem70"
"119"	"CUST_1128_PI419772161"	"Tmem70"
"120"	"CUST_21067_PI419772161"	"Ly96"
"121"	"CUST_21064_PI419772161"	"Ly96"
"122"	"CUST_7749_PI419771968"	"4921511E07Rik"
"123"	"CUST_7749_PI419771968"	"Gm28376"
"124"	"CUST_4584_PI419772161"	"Gm28376"
"125"	"CUST_4584_PI419772161"	"Jph1"
"126"	"CUST_16745_PI419772161"	"Gdap1"
"127"	"CUST_1620_PI419771968"	"Gm28784"
"128"	"CUST_14902_PI419772161"	"Pi15"
"129"	"CUST_14902_PI419772161"	"Gm28154"
"130"	"CUST_1621_PI419771968"	"Gm16070"
"131"	"CUST_2413_PI419772161"	"Crispld1"
"132"	"CUST_2413_PI419772161"	"Gm28153"
"133"	"CUST_3345_PI419772161"	"Crisp4"
"134"	"CUST_13484_PI419771968"	"Defb44-ps"
"135"	"CUST_647_PI419772161"	"Defb18"
"136"	"CUST_5445_PI419772161"	"Defb41"
"137"	"CUST_18970_PI419772161"	"Defb41"
"138"	"CUST_11915_PI419771968"	"Gm15825"
"139"	"CUST_7451_PI419772161"	"Tfap2d"
"140"	"CUST_11262_PI419771968"	"Tfap2b"
"141"	"CUST_9393_PI419771968"	"Gm38382"
"142"	"CUST_13935_PI419772161"	"Pkhd1"
"143"	"CUST_7976_PI419771968"	"4930486I03Rik"
"144"	"CUST_7976_PI419771968"	"Pkhd1"
"145"	"CUST_12659_PI419771968"	"Gm28653"
"146"	"CUST_21601_PI419772161"	"Il17a"
"147"	"CUST_14211_PI419772161"	"Il17f"
"148"	"CUST_11003_PI419772161"	"Mcm3"
"149"	"CUST_1622_PI419771968"	"Mcm3"
"150"	"CUST_8930_PI419771968"	"6720483E21Rik"
"151"	"CUST_2029_PI419772161"	"Paqr8"
"152"	"CUST_12678_PI419771968"	"Tram2"
"153"	"CUST_13140_PI419771968"	"Tram2"
"154"	"CUST_14945_PI419772161"	"Tram2"
"155"	"CUST_14989_PI419772161"	"Tram2"
"156"	"CUST_1623_PI419771968"	"Gm2693"
"157"	"CUST_2217_PI419772161"	"Tmem14a"
"158"	"CUST_9451_PI419772161"	"Gsta3"
"159"	"CUST_9451_PI419772161"	"Gm28836"
"160"	"CUST_9450_PI419772161"	"Gsta3"
"161"	"CUST_9450_PI419772161"	"Gm28836"
"162"	"CUST_13515_PI419771968"	"Gm4956"
"163"	"CUST_7856_PI419772161"	"Khdc1a"
"164"	"CUST_1531_PI419771968"	"Khdc1a"
"165"	"CUST_7396_PI419772161"	"Khdc1c"
"166"	"CUST_7397_PI419772161"	"Khdc1b"
"167"	"CUST_17658_PI419772161"	"Kcnq5"
"168"	"CUST_17659_PI419772161"	"Kcnq5"
"169"	"CUST_11989_PI419772161"	"Gm7658"
"170"	"CUST_11989_PI419772161"	"Kcnq5"
"171"	"CUST_8589_PI419771968"	"Kcnq5"
"172"	"CUST_14434_PI419772161"	"Rims1"
"173"	"CUST_14436_PI419772161"	"Rims1"
"174"	"CUST_14429_PI419772161"	"Rims1"
"175"	"CUST_14488_PI419772161"	"Rims1"
"176"	"CUST_14431_PI419772161"	"Rims1"
"177"	"CUST_12415_PI419771968"	"Rims1"
"178"	"CUST_546_PI419772161"	"4933415F23Rik"
"179"	"CUST_546_PI419772161"	"Gm29506"
"180"	"CUST_12642_PI419771968"	"Gm6420"
"181"	"CUST_629_PI419771968"	"Ogfrl1"
"182"	"CUST_3075_PI419772161"	"Ogfrl1"
"183"	"CUST_1624_PI419771968"	"Ogfrl1"
"184"	"CUST_1625_PI419771968"	"B3gat2"
"185"	"CUST_1625_PI419771968"	"Smap1"
"186"	"CUST_12447_PI419772161"	"B3gat2"
"187"	"CUST_12447_PI419772161"	"Smap1"
"188"	"CUST_16435_PI419772161"	"B3gat2"
"189"	"CUST_16435_PI419772161"	"Smap1"
"190"	"CUST_16938_PI419772161"	"Sdhaf4"
"191"	"CUST_6916_PI419771968"	"Gm26524"
"192"	"CUST_19982_PI419772161"	"Col9a1"
"193"	"CUST_1626_PI419771968"	"Gm28437"
"194"	"CUST_1626_PI419771968"	"Gm10925"
"195"	"CUST_6675_PI419771968"	"Gm28661"
"196"	"CUST_6674_PI419771968"	"Gm29216"
"197"	"CUST_5920_PI419772161"	"Lmbrd1"
