""	"ID"	"symbol"
"1"	"11715100_at"	"HIST1H3G"
"2"	"11715101_s_at"	"HIST1H3G"
"3"	"11715102_x_at"	"HIST1H3G"
"4"	"11715103_x_at"	"TNFAIP8L1"
"5"	"11715104_s_at"	"OTOP2"
"6"	"11715105_at"	"C17orf78"
"7"	"11715106_x_at"	"CTAGE15P /// CTAGE6P"
"8"	"11715107_s_at"	"F8A1 /// F8A2 /// F8A3"
"9"	"11715108_x_at"	"LOC285501"
"10"	"11715109_at"	"SAMD7"
"11"	"11715110_at"	"ARRDC5"
"12"	"11715111_s_at"	"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8"
"13"	"11715112_at"	"C1orf173"
"14"	"11715113_x_at"	"FAM86C"
"15"	"11715114_x_at"	"FAM86C"
"16"	"11715115_s_at"	"HIST1H2BI"
"17"	"11715116_s_at"	"HIST1H4E"
"18"	"11715117_x_at"	"HIST1H2AJ"
"19"	"11715118_s_at"	"HIST1H2BF"
"20"	"11715119_s_at"	"C2CD4B"
"21"	"11715120_s_at"	"HIST1H2BE"
"22"	"11715121_s_at"	"HIST1H3A"
"23"	"11715122_at"	"RAB3D"
"24"	"11715123_s_at"	"PDZD9"
"25"	"11715124_s_at"	"CACNG8"
"26"	"11715125_at"	"MORC2"
"27"	"11715126_s_at"	"HIST1H2BN"
"28"	"11715127_s_at"	"GPR32"
"29"	"11715128_s_at"	"PCDHGB5"
"30"	"11715129_s_at"	"ZNF600"
"31"	"11715130_s_at"	"KRTAP6-2"
"32"	"11715131_s_at"	"KRTAP20-1"
"33"	"11715132_x_at"	"HIST1H2BH"
"34"	"11715133_s_at"	"PCDHGA1"
"35"	"11715134_s_at"	"GLIPR1L2"
"36"	"11715135_s_at"	"SNAPC5"
"37"	"11715136_at"	"OR8U9"
"38"	"11715137_s_at"	"SSX7 /// SSX9"
"39"	"11715138_s_at"	"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8"
"40"	"11715139_x_at"	"IFNA10"
"41"	"11715140_s_at"	"PCDHA13"
"42"	"11715141_s_at"	"PCDHGB3"
"43"	"11715142_s_at"	"GSC2"
"44"	"11715143_s_at"	"OR9Q2"
"45"	"11715144_s_at"	"KRTAP19-7"
"46"	"11715145_s_at"	"KRTAP20-2"
"47"	"11715146_x_at"	"SSX7"
"48"	"11715147_at"	"C3orf15"
"49"	"11715148_s_at"	"HIST2H2AB"
"50"	"11715149_x_at"	"HIST2H2AB"
"51"	"11715150_s_at"	"PCDHA4"
"52"	"11715151_x_at"	"PRB3"
"53"	"11715152_at"	"PCDHGB1"
"54"	"11715153_s_at"	"PCDHGB1"
"55"	"11715154_s_at"	"ZNF675"
"56"	"11715155_s_at"	"TUBB4Q /// TUBB8 /// TUBBP5"
"57"	"11715156_s_at"	"KRTAP6-1"
"58"	"11715157_s_at"	"KRTAP19-2"
"59"	"11715158_s_at"	"KRTAP19-4"
"60"	"11715159_at"	"SFT2D1"
"61"	"11715160_x_at"	"LOC650293"
"62"	"11715161_s_at"	"KRTAP21-2"
"63"	"11715162_s_at"	"HIST1H2AK"
"64"	"11715163_s_at"	"DEFB128"
"65"	"11715164_s_at"	"IGLL3P"
"66"	"11715165_at"	"DNAJC12"
"67"	"11715166_at"	"DNAJC12"
"68"	"11715167_at"	"ARHGAP22"
"69"	"11715168_s_at"	"POU3F3"
"70"	"11715169_at"	"PLEKHG2"
"71"	"11715170_x_at"	"HNRNPCL1"
"72"	"11715171_at"	"DEPDC5"
"73"	"11715172_at"	"DEPDC5"
"74"	"11715173_s_at"	"KRTAP10-12"
"75"	"11715174_s_at"	"KRTAP10-1"
"76"	"11715175_x_at"	"KRTAP10-3"
"77"	"11715176_at"	"TDRKH"
"78"	"11715177_s_at"	"TDRKH"
"79"	"11715178_s_at"	"OR2A14"
"80"	"11715179_s_at"	"KRTAP19-1"
"81"	"11715180_s_at"	"CGB1 /// CGB2"
"82"	"11715181_x_at"	"KRTAP10-9"
"83"	"11715182_x_at"	"FAM86C"
"84"	"11715183_s_at"	"ZNF391"
"85"	"11715184_x_at"	"RPL38"
"86"	"11715185_x_at"	"PRB1"
"87"	"11715186_x_at"	"PRB1"
"88"	"11715187_x_at"	"PRB1"
"89"	"11715188_at"	"H3F3C"
"90"	"11715189_s_at"	"H3F3B /// H3F3C"
"91"	"11715190_s_at"	"C7orf46"
"92"	"11715191_s_at"	"C7orf46"
"93"	"11715192_s_at"	"C7orf46"
"94"	"11715193_s_at"	"UNCX"
"95"	"11715194_s_at"	"ZNF835"
"96"	"11715195_at"	"IMPACT"
"97"	"11715196_s_at"	"TMEM211"
"98"	"11715197_s_at"	"PYGO1"
"99"	"11715198_s_at"	"DUX4 /// DUX4L2 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7"
"100"	"11715199_s_at"	"DUX4 /// DUX4L2 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7"
"101"	"11715200_s_at"	"DUX4 /// DUX4L2 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7"
"102"	"11715201_s_at"	"DUX4 /// DUX4L2 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7"
"103"	"11715202_s_at"	"TCEAL1"
"104"	"11715203_s_at"	"ATP13A5"
"105"	"11715204_x_at"	"HIST2H2AC"
"106"	"11715205_x_at"	"PSG4"
"107"	"11715206_x_at"	"PSG4"
"108"	"11715207_at"	"WDFY4"
"109"	"11715208_s_at"	"CLCN6"
"110"	"11715209_s_at"	"SCAND1"
"111"	"11715210_s_at"	"PNMAL1"
"112"	"11715211_s_at"	"ZNF680"
"113"	"11715212_x_at"	"SCAND1"
"114"	"11715213_s_at"	"DUX1 /// DUX3 /// DUX5"
"115"	"11715214_at"	"MARK4"
"116"	"11715215_s_at"	"GRK7"
"117"	"11715216_s_at"	"UGT2B28"
"118"	"11715217_s_at"	"MOGAT2"
"119"	"11715218_s_at"	"FAM127A"
"120"	"11715219_s_at"	"HIST1H2AI"
"121"	"11715220_s_at"	"C2orf44"
"122"	"11715221_x_at"	"NSUN5"
"123"	"11715222_at"	"MAGI3"
"124"	"11715223_s_at"	"RNASE8"
"125"	"11715224_s_at"	"ACOXL"
"126"	"11715225_s_at"	"VPS54"
"127"	"11715226_s_at"	"PCDHA6"
"128"	"11715227_s_at"	"PCDHA7"
"129"	"11715228_s_at"	"OSTBETA"
"130"	"11715229_s_at"	"GRIP2"
"131"	"11715230_s_at"	"PARD6A"
"132"	"11715231_x_at"	"RPL36"
"133"	"11715232_x_at"	"RPL36"
"134"	"11715233_s_at"	"C21orf56"
"135"	"11715234_s_at"	"UCN"
"136"	"11715235_x_at"	"UQCRHL"
"137"	"11715236_s_at"	"PCDHGA12"
"138"	"11715237_s_at"	"RPL9"
"139"	"11715238_x_at"	"RPL9"
"140"	"11715239_x_at"	"IFITM3"
"141"	"11715240_at"	"ZNF184"
"142"	"11715241_s_at"	"LCE1D"
"143"	"11715242_s_at"	"LCE3D"
"144"	"11715243_x_at"	"LCE1F"
"145"	"11715244_x_at"	"LCE1A"
"146"	"11715245_s_at"	"IGLL1"
"147"	"11715246_x_at"	"BAI1"
"148"	"11715247_s_at"	"DEPDC5"
"149"	"11715248_s_at"	"CRISP2"
"150"	"11715249_s_at"	"MAGEA12"
"151"	"11715250_s_at"	"C5orf36"
"152"	"11715251_at"	"CHST7"
"153"	"11715252_at"	"RSRC1"
"154"	"11715253_s_at"	"KRTAP10-10 /// KRTAP10-6"
"155"	"11715254_s_at"	"DEFB134"
"156"	"11715255_s_at"	"TAS2R30"
"157"	"11715256_at"	"XAGE3"
"158"	"11715257_x_at"	"XAGE3"
"159"	"11715258_s_at"	"PTMS"
"160"	"11715259_s_at"	"IFNA10 /// IFNA14 /// IFNA21 /// IFNA4 /// IFNA5 /// IFNA6 /// IFNA7"
"161"	"11715260_at"	"C1orf66"
"162"	"11715261_s_at"	"LOC440563 /// LOC649330"
"163"	"11715262_at"	"MTNR1A"
"164"	"11715263_at"	"SPEF2"
"165"	"11715264_s_at"	"UTS2R"
"166"	"11715265_at"	"FIG4"
"167"	"11715266_s_at"	"PKD1L3"
"168"	"11715267_s_at"	"EPPK1"
"169"	"11715268_s_at"	"GP1BB /// SEPT5"
"170"	"11715269_x_at"	"ALG1L"
"171"	"11715270_s_at"	"KLF7"
"172"	"11715271_s_at"	"DUX4 /// DUX4L2 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7"
"173"	"11715272_s_at"	"UGT2B11"
"174"	"11715273_at"	"TPM2"
"175"	"11715274_x_at"	"TPM2"
"176"	"11715275_s_at"	"SSX1"
"177"	"11715276_s_at"	"AURKAIP1"
"178"	"11715277_s_at"	"AURKAIP1"
"179"	"11715278_s_at"	"AURKAIP1"
"180"	"11715279_x_at"	"PGAM4"
"181"	"11715280_s_at"	"KRT17"
"182"	"11715281_at"	"ASIP"
"183"	"11715282_s_at"	"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8"
"184"	"11715283_at"	"CCKAR"
"185"	"11715284_x_at"	"C15orf40"
"186"	"11715285_at"	"C15orf40"
"187"	"11715286_x_at"	"C15orf40"
"188"	"11715287_at"	"C15orf40"
"189"	"11715288_s_at"	"CASP14"
"190"	"11715289_s_at"	"AGRP"
"191"	"11715290_s_at"	"CLDN3"
"192"	"11715291_s_at"	"TBX5"
"193"	"11715292_at"	"ST8SIA1"
"194"	"11715293_s_at"	"TRPT1"
"195"	"11715294_s_at"	"HECTD2"
"196"	"11715295_s_at"	"CCL27"
"197"	"11715296_s_at"	"KRT33A"
"198"	"11715297_at"	"FXN"
"199"	"11715298_x_at"	"SH2D2A"
"200"	"11715299_s_at"	"PRAMEF7 /// PRAMEF8"
"201"	"11715300_s_at"	"SSX3"
"202"	"11715301_s_at"	"NOP16"
"203"	"11715302_s_at"	"NT5C1A"
"204"	"11715303_s_at"	"CEMP1"
"205"	"11715304_s_at"	"PLCB3"
"206"	"11715305_s_at"	"HOXA10"
"207"	"11715306_s_at"	"AREG"
"208"	"11715307_s_at"	"MLXIPL"
"209"	"11715308_s_at"	"MLXIPL"
"210"	"11715309_s_at"	"MLXIPL"
"211"	"11715310_s_at"	"MLXIPL"
