""	"ID"	"symbol"
"1"	"ILMN_2659724"	"Gpr135"
"2"	"ILMN_2706226"	"Olfr811"
"3"	"ILMN_1217123"	"Zfpn1a2"
"4"	"ILMN_2780205"	"Ctnna1"
"5"	"ILMN_2713160"	"Rtcd1"
"6"	"ILMN_2650094"	"Krtap12-1"
"7"	"ILMN_2703479"	"Cyp3a16"
"8"	"ILMN_2952493"	"LOC433722"
"9"	"ILMN_2731592"	"2610019A05Rik"
"10"	"ILMN_2729743"	"1810073N04Rik"
"11"	"ILMN_1252621"	"2700050P07Rik"
"12"	"ILMN_3162407"	"Zfp36"
"13"	"ILMN_2692952"	"4833436C18Rik"
"14"	"ILMN_2910076"	"BC051665"
"15"	"ILMN_2709047"	"Paf53"
"16"	"ILMN_2718462"	"0610009J22Rik"
"17"	"ILMN_2882078"	"Phf13"
"18"	"ILMN_2882079"	"Phf13"
"19"	"ILMN_2771368"	"Acox1"
"20"	"ILMN_2724039"	"Hoxa6"
"21"	"ILMN_2965621"	"6430502M16Rik"
"22"	"ILMN_1241452"	"Prkcn"
"23"	"ILMN_2834728"	"Prkcn"
"24"	"ILMN_1221007"	"Prkcn"
"25"	"ILMN_2892507"	"Fut4"
"26"	"ILMN_2598594"	"Gm443"
"27"	"ILMN_2984153"	"Zfp667"
"28"	"ILMN_2967455"	"Ppp1r13b"
"29"	"ILMN_1237626"	"Ppp1r13b"
"30"	"ILMN_2732718"	"Ppp1r13b"
"31"	"ILMN_2658795"	"E2f7"
"32"	"ILMN_1226659"	"Sult3a1"
"33"	"ILMN_1230278"	"Cxcl5"
"34"	"ILMN_2769925"	"Alk"
"35"	"ILMN_1236889"	"Selp"
"36"	"ILMN_3001341"	"Cnnm1"
"37"	"ILMN_2657394"	"Cnnm1"
"38"	"ILMN_1250628"	"2410012H02Rik"
"39"	"ILMN_2627217"	"Pi4k2b"
"40"	"ILMN_2594897"	"Pi4k2b"
"41"	"ILMN_1245424"	"Ppat"
"42"	"ILMN_2700728"	"B430216B18Rik"
"43"	"ILMN_1227431"	"V1re6"
"44"	"ILMN_2599917"	"9530053A07Rik"
"45"	"ILMN_2924299"	"Zbtb3"
"46"	"ILMN_2809571"	"Tmem136"
"47"	"ILMN_2738707"	"Anubl1"
"48"	"ILMN_2866276"	"Csf2ra"
"49"	"ILMN_2628647"	"Ddc"
"50"	"ILMN_2964728"	"2810410C14Rik"
"51"	"ILMN_2696207"	"Pcdhb21"
"52"	"ILMN_2697012"	"Dact2"
"53"	"ILMN_2669958"	"Bcas3"
"54"	"ILMN_1219309"	"4930404H21Rik"
"55"	"ILMN_2762745"	"Miz1"
"56"	"ILMN_2664681"	"Miz1"
"57"	"ILMN_2919869"	"Olfr1436"
"58"	"ILMN_2639092"	"Olfr1436"
"59"	"ILMN_1232766"	"C330023F11Rik"
"60"	"ILMN_2589403"	"Npdc1"
"61"	"ILMN_2632092"	"Ppp1r9a"
"62"	"ILMN_1231439"	"Aatk"
"63"	"ILMN_1254473"	"LOC241525"
"64"	"ILMN_1246452"	"Wdr22"
"65"	"ILMN_2654366"	"Phyhipl"
"66"	"ILMN_2650115"	"A930008K15Rik"
"67"	"ILMN_1215331"	"Dicer1"
