""	"ID"	"symbol"
"1"	"1367452_PM_at"	"Sumo2"
"2"	"1367453_PM_at"	"Cdc37"
"3"	"1367454_PM_at"	"Copb2"
"4"	"1367455_PM_at"	"Vcp"
"5"	"1367456_PM_at"	"Ube2d2 /// Ube2d3"
"6"	"1367457_PM_at"	"Becn1"
"7"	"1367458_PM_at"	"Lypla2"
"8"	"1367459_PM_at"	"Arf1"
"9"	"1367460_PM_at"	"Gdi2"
"10"	"1367461_PM_at"	"Copb1"
"11"	"1367462_PM_at"	"Capns1"
"12"	"1367463_PM_at"	"Phb2"
"13"	"1367464_PM_at"	"Puf60"
"14"	"1367465_PM_at"	"Dad1"
"15"	"1367466_PM_at"	"Prpf8"
"16"	"1367467_PM_at"	"Iscu"
"17"	"1367468_PM_at"	"Scand1"
"18"	"1367469_PM_at"	"Eif4g2"
"19"	"1367470_PM_at"	"Sar1a"
"20"	"1367471_PM_at"	"Polr2e"
"21"	"1367472_PM_at"	"Uba1"
"22"	"1367473_PM_at"	"Tomm22"
"23"	"1367474_PM_at"	"Sec24c"
"24"	"1367475_PM_at"	"Cdc42"
"25"	"1367476_PM_at"	"Srp14"
"26"	"1367477_PM_at"	"Mrpl53"
"27"	"1367478_PM_at"	"Htra2"
"28"	"1367479_PM_at"	"LOC100360065 /// LOC100365891 /// Nop10"
"29"	"1367480_PM_at"	"Eif4a3"
"30"	"1367481_PM_at"	"Vps28"
"31"	"1367482_PM_at"	"Anapc11"
"32"	"1367483_PM_at"	"RGD1309148"
"33"	"1367484_PM_at"	"Ube2e2"
"34"	"1367485_PM_at"	"LOC498453 /// Tcea1"
"35"	"1367486_PM_at"	"Arfgap2"
"36"	"1367487_PM_at"	"B4galt3"
"37"	"1367488_PM_at"	"Ankrd17"
"38"	"1367489_PM_at"	"---"
"39"	"1367490_PM_at"	"LOC681989"
"40"	"1367491_PM_at"	"Api5"
"41"	"1367492_PM_at"	"Dnajc8"
"42"	"1367493_PM_at"	"RGD1560212"
"43"	"1367494_PM_at"	"Fcf1"
"44"	"1367495_PM_at"	"LOC100366237"
"45"	"1367496_PM_at"	"Tm9sf2"
"46"	"1367497_PM_at"	"Ptdss1"
"47"	"1367498_PM_at"	"Ythdf1"
"48"	"1367499_PM_at"	"Slc35c1"
"49"	"1367500_PM_at"	"Shfm1"
"50"	"1367501_PM_at"	"Srp72"
"51"	"1367502_PM_at"	"Mrpl21"
"52"	"1367503_PM_at"	"Bcap31"
"53"	"1367504_PM_at"	"---"
"54"	"1367505_PM_at"	"Zfp644"
"55"	"1367506_PM_at"	"mrpl11"
"56"	"1367507_PM_at"	"Nudt22"
"57"	"1367508_PM_at"	"RGD1565784"
"58"	"1367509_PM_at"	"Gtf2h5"
"59"	"1367510_PM_at"	"Txndc15"
"60"	"1367511_PM_at"	"Ncstn"
"61"	"1367512_PM_at"	"Chmp5"
"62"	"1367513_PM_at"	"Tm9sf4"
"63"	"1367514_PM_at"	"LOC361635"
"64"	"1367515_PM_at"	"Cnot7 /// LOC100361786"
"65"	"1367516_PM_at"	"Dtnbp1"
"66"	"1367517_PM_at"	"---"
"67"	"1367518_PM_at"	"Fto"
"68"	"1367519_PM_at"	"Osbpl2"
"69"	"1367520_PM_at"	"Apoa1bp"
"70"	"1367521_PM_at"	"---"
"71"	"1367522_PM_at"	"F8a1"
"72"	"1367523_PM_at"	"LOC100910519 /// RGD1564492 /// Trappc2l"
"73"	"1367524_PM_at"	"Zfp592"
"74"	"1367525_PM_at"	"Thrap3"
"75"	"1367526_PM_at"	"Mrps26"
"76"	"1367527_PM_at"	"LOC686774"
"77"	"1367528_PM_at"	"Fbxw8"
"78"	"1367529_PM_at"	"Derl1 /// LOC689741"
"79"	"1367530_PM_at"	"Stx16"
"80"	"1367531_PM_at"	"Eif4h"
"81"	"1367532_PM_at"	"Dazap2"
"82"	"1367533_PM_at"	"Elp2"
"83"	"1367534_PM_at"	"Rabgap1"
"84"	"1367535_PM_at"	"Irf2bp1"
"85"	"1367536_PM_at"	"Apip"
"86"	"1367537_PM_at"	"Eif4enif1"
"87"	"1367538_PM_at"	"---"
"88"	"1367539_PM_at"	"LOC100910334"
"89"	"1367540_PM_at"	"Zfyve26"
"90"	"1367541_PM_at"	"Mettl5"
"91"	"1367542_PM_at"	"Gpbp1l1 /// Gpbp1l2 /// LOC100361476 /// LOC100361636 /// LOC100364632 /// LOC100365727 /// LOC100366127"
"92"	"1367543_PM_at"	"Sys1"
"93"	"1367544_PM_at"	"Rnf111"
"94"	"1367545_PM_at"	"Rabgap1"
"95"	"1367546_PM_at"	"Mrpl43"
"96"	"1367547_PM_at"	"Zmym2"
"97"	"1367548_PM_at"	"Suds3"
"98"	"1367549_PM_a_at"	"Ap3d1"
"99"	"1367550_PM_a_at"	"Tm2d1"
