""	"probe_id"	"symbol"
"1"	"ASHGV40003982"	"DDX11L1"
"2"	"ASHGV40056224"	"DDX11L1"
"3"	"ASHGV40056225"	"DDX11L1"
"4"	"ASHGV40010881"	"DDX11L1"
"5"	"ASHGV40010881"	"WASH7P"
"6"	"ASHGV40057492"	"WASH7P"
"7"	"ASHGV40001398"	"WASH7P"
"8"	"ASHGV40003684"	"WASH7P"
"9"	"ASHGV40010880"	"WASH7P"
"10"	"ASHGV40010879"	"MIR1302-2HG"
"11"	"ASHGV40052564"	"MIR1302-2HG"
"12"	"ASHGV40023575"	"MIR1302-2HG"
"13"	"ASHGV40016474"	"MIR1302-2HG"
"14"	"ASHGV40051437"	"FAM138A"
"15"	"ASHGV40003549"	"FAM138A"
"16"	"ASHGV40023643"	"FAM138A"
"17"	"ASHGV40024911"	"OR4F5"
"18"	"ASHGV40028352"	"AL627309.3"
"19"	"ASHGV40028352"	"AL627309.1"
"20"	"ASHGV40028353"	"AL627309.3"
"21"	"ASHGV40028353"	"AL627309.1"
"22"	"ASHGV40058020"	"AL627309.1"
"23"	"ASHGV40006449"	"CICP27"
"24"	"ASHGV40056470"	"CICP27"
"25"	"ASHGV40000560"	"AL627309.6"
"26"	"ASHGV40024913"	"AL627309.6"
"27"	"ASHGV40058762"	"AL627309.5"
"28"	"ASHGV40003982"	"FO538757.1"
"29"	"ASHGV40056224"	"FO538757.1"
"30"	"ASHGV40056225"	"FO538757.1"
"31"	"ASHGV40001398"	"WASH9P"
"32"	"ASHGV40003684"	"WASH9P"
"33"	"ASHGV40022392"	"AP006222.1"
"34"	"ASHGV40056005"	"AP006222.2"
"35"	"ASHGV40056005"	"AP006222.1"
"36"	"ASHGV40055666"	"AP006222.1"
"37"	"ASHGV40028353"	"AP006222.1"
"38"	"ASHGV40056434"	"AL732372.1"
"39"	"ASHGV40056434"	"AP006222.1"
"40"	"ASHGV40056242"	"AL732372.1"
"41"	"ASHGV40056242"	"AP006222.1"
"42"	"ASHGV40056229"	"AL732372.1"
"43"	"ASHGV40056229"	"AP006222.1"
"44"	"ASHGV40059229"	"AL732372.1"
"45"	"ASHGV40059229"	"AL732372.2"
"46"	"ASHGV40060803"	"AL732372.2"
"47"	"ASHGV40007574"	"AL732372.2"
"48"	"ASHGV40046042"	"AL732372.2"
"49"	"ASHGV40001212"	"OR4F29"
"50"	"ASHGV40001212"	"AL732372.2"
"51"	"ASHGV40042883"	"OR4F29"
"52"	"ASHGV40042883"	"AL732372.2"
"53"	"ASHGV40006449"	"AL732372.2"
"54"	"ASHGV40056179"	"AL732372.2"
"55"	"ASHGV40056174"	"AL732372.3"
"56"	"ASHGV40056174"	"AL732372.2"
"57"	"ASHGV40000560"	"AL732372.3"
"58"	"ASHGV40000560"	"AL732372.2"
"59"	"ASHGV40057169"	"AL732372.2"
"60"	"ASHGV40020361"	"AL732372.2"
"61"	"ASHGV40019638"	"AL732372.2"
"62"	"ASHGV40020374"	"AL732372.2"
"63"	"ASHGV40058762"	"AL732372.2"
"64"	"ASHGV40056242"	"AC114498.1"
"65"	"ASHGV40056242"	"AL669831.3"
"66"	"ASHGV40050160"	"AC114498.1"
"67"	"ASHGV40050160"	"AL669831.3"
"68"	"ASHGV40059229"	"AC114498.1"
"69"	"ASHGV40059229"	"AL669831.3"
"70"	"ASHGV40060803"	"AL669831.3"
"71"	"ASHGV40007574"	"AL669831.3"
"72"	"ASHGV40046042"	"AL669831.3"
"73"	"ASHGV40053699"	"MTCO2P12"
"74"	"ASHGV40053699"	"AL669831.3"
"75"	"ASHGV40001212"	"OR4F16"
"76"	"ASHGV40001212"	"AL669831.3"
"77"	"ASHGV40042883"	"OR4F16"
"78"	"ASHGV40042883"	"AL669831.3"
"79"	"ASHGV40023644"	"AL669831.3"
"80"	"ASHGV40055666"	"AL669831.3"
"81"	"ASHGV40005549"	"AL669831.3"
"82"	"ASHGV40056179"	"AL669831.1"
"83"	"ASHGV40056179"	"AL669831.3"
"84"	"ASHGV40008878"	"AL669831.1"
"85"	"ASHGV40008878"	"AL669831.3"
"86"	"ASHGV40057729"	"AL669831.1"
"87"	"ASHGV40057729"	"AL669831.3"
"88"	"ASHGV40019638"	"AL669831.1"
"89"	"ASHGV40019638"	"AL669831.3"
"90"	"ASHGV40020374"	"AL669831.1"
"91"	"ASHGV40020374"	"AL669831.3"
"92"	"ASHGV40058762"	"AL669831.1"
"93"	"ASHGV40058762"	"AL669831.3"
"94"	"ASHGV40056402"	"AL669831.1"
"95"	"ASHGV40056402"	"AL669831.3"
"96"	"ASHGV40023667"	"AL669831.3"
"97"	"ASHGV40023667"	"LINC01409"
"98"	"ASHGV40002757"	"FAM87B"
"99"	"ASHGV40002757"	"AL669831.3"
"100"	"ASHGV40023689"	"AL669831.3"
