""	"ID"	"symbol"
"1"	"GE_BrightCorner"	""
"2"	"DarkCorner"	""
"3"	"A_23_P117082"	"HEBP1"
"4"	"A_33_P3246448"	"KCNE4"
"5"	"A_33_P3318220"	"BPIFA3"
"6"	"A_33_P3236322"	"LOC100129869"
"7"	"A_33_P3319925"	"IRG1"
"8"	"A_21_P0000509"	"SNAR-G2"
"9"	"A_21_P0000744"	"LOC100506844"
"10"	"A_24_P215804"	"CKLF"
"11"	"A_23_P110167"	"MGST2"
"12"	"A_33_P3211513"	"CLK1"
"13"	"A_23_P103349"	"OCLM"
"14"	"A_32_P61480"	"CASC2"
"15"	"A_33_P3788124"	"PWRN1"
"16"	"A_33_P3414202"	"MBNL3"
"17"	"A_33_P3316686"	"CYB5R4"
"18"	"A_33_P3300975"	"HOXC4"
"19"	"A_33_P3263061"	"AK3"
"20"	"A_33_P3261373"	""
"21"	"A_24_P278460"	"FAR1"
"22"	"A_21_P0013109"	"XLOC_l2_013153"
"23"	"A_21_P0014651"	"LOC100129203"
"24"	"A_24_P286898"	"MAPK8"
"25"	"A_23_P340890"	"THAP3"
"26"	"A_21_P0005185"	"XLOC_005939"
"27"	"A_21_P0010885"	"TMEM14B"
"28"	"A_21_P0004635"	"XLOC_005179"
"29"	"A_23_P89762"	"PHLPP1"
"30"	"A_33_P3379396"	"KRT1"
"31"	"A_23_P109034"	"SDC4"
"32"	"A_21_P0013603"	"XLOC_l2_015038"
"33"	"A_33_P3261031"	""
"34"	"A_33_P3364776"	""
"35"	"A_33_P3732466"	"DKFZp547G183"
"36"	"A_33_P3402773"	""
"37"	"A_33_P3636315"	"LOC286087"
"38"	"A_33_P3365553"	"LOC389634"
"39"	"A_23_P103837"	"UBAP2L"
"40"	"A_33_P3402035"	"TRAF4"
"41"	"A_21_P0013668"	"FAM75C2"
"42"	"A_23_P61637"	"HAL"
"43"	"A_23_P11543"	"FUCA1"
"44"	"A_23_P103765"	"FCER1A"
"45"	"A_21_P0002012"	"XLOC_001975"
"46"	"A_33_P3219429"	"SMNDC1"
"47"	"A_21_P0014120"	"LOC100507291"
"48"	"A_33_P3372397"	""
"49"	"A_24_P120109"	"DHX57"
"50"	"A_21_P0013733"	"TCERG1L"
"51"	"A_21_P0008159"	"XLOC_010597"
"52"	"A_23_P118888"	"PAFAH1B1"
"53"	"A_19_P00803093"	"Q3AHP4"
"54"	"A_33_P3350056"	"MT1X"
"55"	"A_32_P202703"	"LOC389831"
"56"	"A_24_P787889"	"TMEM191B"
"57"	"A_33_P3390097"	""
"58"	"A_24_P238257"	"C17orf104"
"59"	"A_33_P3227225"	""
"60"	"A_21_P0014626"	"RNF13"
"61"	"A_23_P203658"	"PICALM"
"62"	"A_33_P3354678"	"TRIM78P"
"63"	"A_23_P102060"	"SSFA2"
"64"	"A_23_P206140"	"DNAJA4"
"65"	"A_23_P14389"	"ACIN1"
"66"	"A_23_P106016"	"PRKD1"
"67"	"A_33_P3323435"	"MAP3K9"
"68"	"A_21_P0011375"	"SORD"
"69"	"A_21_P0001890"	"XLOC_001602"
"70"	"A_33_P3228014"	"SCGB1D4"
"71"	"A_21_P0014742"	"LOC100287813"
"72"	"A_33_P3241482"	"ZNF346"
"73"	"A_21_P0001555"	"XLOC_000934"
"74"	"A_33_P3349661"	"PCDH9"
"75"	"A_21_P0010319"	"XLOC_014042"
"76"	"A_23_P145541"	"FIG4"
"77"	"A_23_P111865"	"ZSCAN21"
"78"	"A_23_P151294"	"IFNG"
"79"	"A_23_P144096"	"CISH"
"80"	"A_33_P3299510"	"SCXA"
"81"	"A_23_P76705"	"TUBGCP3"
"82"	"A_23_P63896"	"FAS"
"83"	"A_21_P0005541"	"XLOC_006644"
"84"	"A_24_P355944"	"EFNB2"
"85"	"A_23_P101374"	"CYP2S1"
"86"	"A_32_P199252"	"HSP90AA1"
"87"	"A_21_P0001204"	"XLOC_001128"
"88"	"A_23_P203191"	"APOA1"
"89"	"A_19_P00811812"	"MPRIP"
"90"	"A_24_P54390"	"RASGRP3"
"91"	"A_33_P3311205"	"PRPF40B"
"92"	"A_32_P89827"	"TPTE2P6"
"93"	"A_23_P44264"	"EMX2"
"94"	"A_33_P3424489"	""
"95"	"A_21_P0004959"	"XLOC_005512"
"96"	"A_33_P3245927"	"OGFOD2"
"97"	"A_23_P101521"	"IZUMO2"
"98"	"A_21_P0004017"	"XLOC_004428"
"99"	"A_33_P3379526"	""
"100"	"A_23_P98183"	"HRAS"
"101"	"A_21_P0012132"	"XLOC_l2_008731"
"102"	"A_21_P0007347"	"XLOC_009428"
"103"	"A_33_P3265679"	"LOC389199"
"104"	"ERCC-00096_179"	""
"105"	"A_21_P0000880"	"SPAG5-AS1"
"106"	"A_33_P3278313"	"MSRB3"
"107"	"A_33_P3306973"	""
"108"	"A_33_P3235690"	"THOC2"
"109"	"A_21_P0006812"	"XLOC_008342"
"110"	"A_21_P0004992"	"XLOC_005586"
"111"	"A_21_P0000576"	"LOC100294362"
"112"	"A_21_P0005597"	"XLOC_006364"
"113"	"A_21_P0014082"	"LOC100507013"
"114"	"A_24_P187056"	""
"115"	"A_33_P3858476"	"FLJ30838"
"116"	"A_33_P3260373"	"ISY1-RAB43"
"117"	"A_33_P3282898"	"TLN1"
"118"	"A_23_P122001"	"MSH3"
"119"	"A_23_P117437"	"IL25"
"120"	"A_21_P0002784"	"XLOC_002880"
"121"	"A_24_P303420"	"LOC221442"
"122"	"A_23_P122508"	"DPCR1"
"123"	"ERCC-00013_180"	""
"124"	"A_19_P00322002"	"FLJ43663"
"125"	"A_19_P00320028"	"LOC100216546"
"126"	"A_23_P114883"	"FMOD"
"127"	"A_24_P42066"	"GGT3P"
"128"	"A_21_P0007322"	"XLOC_009383"
"129"	"A_33_P3321007"	"LOC401463"
"130"	"A_33_P3857091"	"LOC286114"
"131"	"A_33_P3404480"	"MPP4"
"132"	"A_33_P3357431"	""
"133"	"A_21_P0009595"	"LOC645321"
"134"	"A_23_P110288"	"GSTCD"
"135"	"A_23_P114282"	"MCTS1"
"136"	"A_21_P0001847"	"XLOC_001398"
"137"	"A_33_P3325018"	"ERLEC1"
"138"	"A_21_P0004300"	"XLOC_004562"
"139"	"A_23_P88740"	"CENPN"
"140"	"A_23_P123308"	"TEX15"
"141"	"A_21_P0003254"	"XLOC_002878"
"142"	"A_33_P3412975"	"SIX5"
"143"	"A_33_P3745164"	"CADM2"
"144"	"A_23_P102937"	"SUMO3"
"145"	"A_24_P41021"	"FBXO33"
"146"	"A_21_P0007760"	"XLOC_010200"
"147"	"A_21_P0002274"	"XLOC_001637"
"148"	"A_23_P11652"	"USP1"
"149"	"A_23_P258340"	"PPIA"
"150"	"A_21_P0014949"	"NPEPPS"
"151"	"A_33_P3209386"	"TXNDC17"
"152"	"A_33_P3312601"	"AADACL4"
"153"	"A_23_P162702"	"C12orf51"
"154"	"A_23_P434518"	"LFNG"
"155"	"A_21_P0003091"	"XLOC_002996"
"156"	"A_23_P61042"	""
"157"	"A_21_P0005777"	"XLOC_006949"
"158"	"A_21_P0003356"	"XLOC_003521"
"159"	"A_23_P119907"	"ANKZF1"
"160"	"A_21_P0010960"	"XLOC_l2_002204"
"161"	"A_33_P3284404"	"SYNGR1"
"162"	"ERCC-00156_158"	""
"163"	"A_21_P0008122"	"XLOC_010503"
"164"	"A_23_P110624"	"CTNND2"
"165"	"ERCC-00147_344"	""
"166"	"A_21_P0001786"	"XLOC_002049"
"167"	"A_32_P215938"	"GPSM1"
"168"	"A_33_P3325808"	""
"169"	"A_21_P0002823"	"XLOC_002968"
"170"	"A_23_P101960"	"ZFP36L2"
"171"	"A_19_P00318261"	"SNORA26"
"172"	"A_21_P0011410"	"XLOC_l2_004944"
"173"	"A_23_P140602"	"NGRN"
"174"	"A_24_P252575"	"RABGAP1"
"175"	"A_23_P104025"	"TSEN15"
"176"	"A_23_P63459"	"C1orf31"
"177"	"A_23_P104972"	"MS4A5"
"178"	"A_33_P3215028"	"C6orf89"
"179"	"A_33_P3228722"	"TBCD"
"180"	"ERCC-00034_158"	""
"181"	"A_23_P146146"	"ATP6V0D2"
"182"	"A_24_P71973"	"KDR"
"183"	"A_33_P3340085"	"POLDIP3"
"184"	"A_23_P215175"	"ABCF2"
"185"	"A_23_P103588"	"HMGCS2"
"186"	"A_21_P0013214"	"XLOC_l2_013442"
"187"	"A_19_P00806765"	"FONG"
"188"	"A_21_P0004505"	"XLOC_004405"
"189"	"A_23_P11032"	"SLC9A7"
"190"	"A_33_P3255314"	"FLJ26245"
"191"	"A_21_P0005037"	"LOC100506867"
"192"	"A_23_P252748"	"ZNF195"
"193"	"A_21_P0005215"	"XLOC_005991"
"194"	"A_32_P57810"	"RNF157"
"195"	"A_21_P0002212"	"LOC100506235"
"196"	"A_23_P214678"	"CUTA"
"197"	"A_24_P11575"	"CRIM1"
"198"	"A_33_P3368034"	""
"199"	"A_21_P0008281"	"XLOC_011080"
