ID	ORF	GenBank	CLONE_ID	SPOT_ID
CCNG2	CCNG2			
CCNH	CCNH			
CCNHP1	CCNHP1			
CCNI	CCNI			
CCNI2	CCNI2			
CCNJ	CCNJ			
CCNJL	CCNJL			
CCNJP1	CCNJP1			
CCNJP2	CCNJP2			
CCNK	CCNK			
CCNL1	CCNL1			
CCNL2	CCNL2			
CCNL2P1	CCNL2P1			
CCNO	CCNO			
CCNT1	CCNT1			
CCNT2	CCNT2			
CCNT2-AS1	CCNT2-AS1			
CCNT2P1	CCNT2P1			
CCNY	CCNY			
CCNYL1	CCNYL1			
CCNYL2	CCNYL2			
CCNYL3	CCNYL3			
CCP110	CCP110			
CCPG1	CCPG1			
CCR1	CCR1			
CCR10	CCR10			
CCR12P	CCR12P			
CCR2	CCR2			
CCR3	CCR3			
CCR4	CCR4			
CCR5	CCR5			
CCR6	CCR6			
CCR7	CCR7			
CCR8	CCR8			
CCR9	CCR9			
CCRL2	CCRL2			
CCRN4L	CCRN4L			
CCS	CCS			
CCSAP	CCSAP			
CCSER1	CCSER1			
CCSER2	CCSER2			
CCT2	CCT2			
CCT3	CCT3			
CCT4	CCT4			
CCT4P1	CCT4P1			
CCT4P2	CCT4P2			
CCT5	CCT5			
CCT5P1	CCT5P1			
CCT5P2	CCT5P2			
CCT6A	CCT6A			
CCT6B	CCT6B			
CCT6P1	CCT6P1			
CCT6P2	CCT6P2			
CCT6P3	CCT6P3			
CCT6P4	CCT6P4			
CCT7	CCT7			
CCT7P1	CCT7P1			
CCT7P2	CCT7P2			
CCT8	CCT8			
CCT8L2	CCT8L2			
CCT8P1	CCT8P1			
CCZ1	CCZ1			
CCZ1B	CCZ1B			
CD101	CD101			
CD109	CD109			
CD14	CD14			
CD151	CD151			
CD160	CD160			
CD163	CD163			
CD163L1	CD163L1			
CD164	CD164			
CD164L2	CD164L2			
CD177	CD177			
CD177P1	CD177P1			
CD180	CD180			
CD19	CD19			
CD1A	CD1A			
CD1B	CD1B			
CD1C	CD1C			
CD1D	CD1D			
CD1E	CD1E			
CD2	CD2			
CD200	CD200			
CD200R1	CD200R1			
CD200R1L	CD200R1L			
CD207	CD207			
CD209	CD209			
CD22	CD22			
CD226	CD226			
CD24	CD24			
CD244	CD244			
CD247	CD247			
CD248	CD248			
CD24P4	CD24P4			
CD27	CD27			
CD274	CD274			
CD276	CD276			
CD27-AS1	CD27-AS1			
CD28	CD28			
CD2AP	CD2AP			
CD2BP2	CD2BP2			
CD300A	CD300A			
CD300C	CD300C			
CD300E	CD300E			
CD300LB	CD300LB			
CD300LD	CD300LD			
CD300LF	CD300LF			
CD300LG	CD300LG			
CD302	CD302			
CD320	CD320			
CD33	CD33			
CD34	CD34			
CD36	CD36			
CD37	CD37			
CD38	CD38			
CD3D	CD3D			
CD3E	CD3E			
CD3EAP	CD3EAP			
CD3G	CD3G			
CD4	CD4			
CD40	CD40			
CD40LG	CD40LG			
CD44	CD44			
CD46	CD46			
CD46P1	CD46P1			
CD47	CD47			
CD48	CD48			
CD5	CD5			
CD52	CD52			
CD53	CD53			
CD55	CD55			
CD58	CD58			
CD59	CD59			
CD5L	CD5L			
CD6	CD6			
CD63	CD63			
CD68	CD68			
CD69	CD69			
CD7	CD7			
CD70	CD70			
CD72	CD72			
CD74	CD74			
CD79A	CD79A			
CD79B	CD79B			
CD80	CD80			
CD81	CD81			
CD81-AS1	CD81-AS1			
CD82	CD82			
CD83	CD83			
CD84	CD84			
CD86	CD86			
CD8A	CD8A			
CD8B	CD8B			
CD9	CD9			
CD93	CD93			
CD96	CD96			
CD97	CD97			
CD99	CD99			
CD99L2	CD99L2			
CD99P1	CD99P1			
CDA	CDA			
CDADC1	CDADC1			
CDAN1	CDAN1			
CDC123	CDC123			
CDC14A	CDC14A			
CDC14B	CDC14B			
CDC14C	CDC14C			
CDC16	CDC16			
CDC20	CDC20			
CDC20B	CDC20B			
CDC20P1	CDC20P1			
CDC23	CDC23			
CDC25A	CDC25A			
CDC25B	CDC25B			
CDC25C	CDC25C			
CDC26	CDC26			
CDC27	CDC27			
CDC27P2	CDC27P2			
CDC34	CDC34			
CDC37	CDC37			
CDC37L1	CDC37L1			
CDC37L1-AS1	CDC37L1-AS1			
CDC37P1	CDC37P1			
CDC40	CDC40			
CDC42	CDC42			
CDC42BPA	CDC42BPA			
CDC42BPB	CDC42BPB			
CDC42BPG	CDC42BPG			
CDC42EP1	CDC42EP1			
CDC42EP2	CDC42EP2			
CDC42EP3	CDC42EP3			
CDC42EP3P1	CDC42EP3P1			
CDC42EP4	CDC42EP4			
CDC42EP5	CDC42EP5			
CDC42-IT1	CDC42-IT1			
CDC42P1	CDC42P1			
CDC42P2	CDC42P2			
CDC42P3	CDC42P3			
CDC42P5	CDC42P5			
CDC42P6	CDC42P6			
CDC42SE1	CDC42SE1			
CDC42SE2	CDC42SE2			
CDC45	CDC45			
CDC5L	CDC5L			
CDC6	CDC6			
CDC7	CDC7			
CDC73	CDC73			
CDCA2	CDCA2			
CDCA3	CDCA3			
CDCA4	CDCA4			
CDCA4P1	CDCA4P1			
CDCA4P2	CDCA4P2			
CDCA4P3	CDCA4P3			
CDCA4P4	CDCA4P4			
CDCA5	CDCA5			
CDCA7	CDCA7			
CDCA7L	CDCA7L			
CDCA8	CDCA8			
CDCP1	CDCP1			
CDCP2	CDCP2			
CDH1	CDH1			
CDH10	CDH10			
CDH11	CDH11			
CDH12	CDH12			
CDH13	CDH13			
CDH15	CDH15			
CDH16	CDH16			
CDH17	CDH17			
CDH18	CDH18			
CDH19	CDH19			
CDH2	CDH2			
CDH20	CDH20			
CDH22	CDH22			
CDH23	CDH23			
CDH23-AS1	CDH23-AS1			
CDH24	CDH24			
CDH26	CDH26			
CDH3	CDH3			
CDH4	CDH4			
CDH5	CDH5			
CDH6	CDH6			
CDH7	CDH7			
CDH8	CDH8			
CDH9	CDH9			
CDHR1	CDHR1			
CDHR2	CDHR2			
CDHR3	CDHR3			
CDHR4	CDHR4			
CDHR5	CDHR5			
CDIP1	CDIP1			
CDIPT	CDIPT			
CDIPT-AS1	CDIPT-AS1			
CDK1	CDK1			
CDK10	CDK10			
CDK11A	CDK11A			
CDK11B	CDK11B			
CDK12	CDK12			
CDK13	CDK13			
CDK14	CDK14			
CDK15	CDK15			
CDK16	CDK16			
CDK17	CDK17			
CDK18	CDK18			
CDK19	CDK19			
CDK2	CDK2			
CDK20	CDK20			
CDK2AP1	CDK2AP1			
CDK2AP2	CDK2AP2			
CDK2AP2P2	CDK2AP2P2			
CDK2AP2P3	CDK2AP2P3			
CDK3	CDK3			
CDK4	CDK4			
CDK5	CDK5			
CDK5PS	CDK5PS			
CDK5R1	CDK5R1			
CDK5R2	CDK5R2			
CDK5RAP1	CDK5RAP1			
CDK5RAP2	CDK5RAP2			
CDK5RAP3	CDK5RAP3			
CDK6	CDK6			
CDK7	CDK7			
CDK8	CDK8			
CDK9	CDK9			
CDKAL1	CDKAL1			
CDKL1	CDKL1			
CDKL2	CDKL2			
CDKL3	CDKL3			
CDKL4	CDKL4			
CDKL5	CDKL5			
CDKN1A	CDKN1A			
CDKN1B	CDKN1B			
CDKN1C	CDKN1C			
CDKN2A	CDKN2A			
CDKN2A-AS1	CDKN2A-AS1			
CDKN2AIP	CDKN2AIP			
CDKN2AIPNL	CDKN2AIPNL			
CDKN2AIPNLP1	CDKN2AIPNLP1			
CDKN2AIPNLP2	CDKN2AIPNLP2			
CDKN2AIPNLP3	CDKN2AIPNLP3			
CDKN2B	CDKN2B			
CDKN2B-AS1	CDKN2B-AS1			
CDKN2C	CDKN2C			
CDKN2D	CDKN2D			
CDKN3	CDKN3			
CDNF	CDNF			
CDO1	CDO1			
CDON	CDON			
CDPF1	CDPF1			
CDR1	CDR1			
CDR1-AS	CDR1-AS			
CDR2	CDR2			
CDR2L	CDR2L			
CDRT1	CDRT1			
CDRT15	CDRT15			
CDRT15L2	CDRT15L2			
CDRT15P1	CDRT15P1			
CDRT15P2	CDRT15P2			
CDRT4	CDRT4			
CDRT7	CDRT7			
CDS1	CDS1			
CDS2	CDS2			
CDSN	CDSN			
CDT1	CDT1			
CDV3	CDV3			
CDV3P1	CDV3P1			
CDX1	CDX1			
CDX2	CDX2			
CDX4	CDX4			
CDY10P	CDY10P			
CDY11P	CDY11P			
CDY13P	CDY13P			
CDY15P	CDY15P			
CDY19P	CDY19P			
CDY1B	CDY1B			
CDY2B	CDY2B			
CDY3P	CDY3P			
CDY4P	CDY4P			
CDY6P	CDY6P			
CDY7P	CDY7P			
CDY9P	CDY9P			
CDYL	CDYL			
CDYL2	CDYL2			
CEACAM1	CEACAM1			
CEACAM16	CEACAM16			
CEACAM18	CEACAM18			
CEACAM19	CEACAM19			
CEACAM20	CEACAM20			
CEACAM21	CEACAM21			
CEACAM22P	CEACAM22P			
CEACAM3	CEACAM3			
CEACAM4	CEACAM4			
CEACAM5	CEACAM5			
CEACAM6	CEACAM6			
CEACAM7	CEACAM7			
CEACAM8	CEACAM8			
CEACAMP1	CEACAMP1			
CEACAMP10	CEACAMP10			
CEACAMP11	CEACAMP11			
CEACAMP2	CEACAMP2			
CEACAMP3	CEACAMP3			
CEACAMP4	CEACAMP4			
CEACAMP5	CEACAMP5			
CEACAMP6	CEACAMP6			
CEACAMP7	CEACAMP7			
CEACAMP8	CEACAMP8			
CEACAMP9	CEACAMP9			
CEBPA	CEBPA			
CEBPA-AS1	CEBPA-AS1			
CEBPB	CEBPB			
CEBPB-AS1	CEBPB-AS1			
CEBPD	CEBPD			
CEBPE	CEBPE			
CEBPG	CEBPG			
CEBPZ	CEBPZ			
CEBPZOS	CEBPZOS			
CECR1	CECR1			
CECR2	CECR2			
CECR3	CECR3			
CECR5	CECR5			
CECR5-AS1	CECR5-AS1			
CECR6	CECR6			
CECR7	CECR7			
CEL	CEL			
CELA1	CELA1			
CELA2A	CELA2A			
CELA2B	CELA2B			
CELA3A	CELA3A			
CELA3B	CELA3B			
CELF1	CELF1			
CELF2	CELF2			
CELF2-AS1	CELF2-AS1			
CELF2-AS2	CELF2-AS2			
CELF3	CELF3			
CELF4	CELF4			
CELF5	CELF5			
CELF6	CELF6			
CELP	CELP			
CELSR1	CELSR1			
CELSR2	CELSR2			
CELSR3	CELSR3			
CELSR3-AS1	CELSR3-AS1			
CEMIP	CEMIP			
CEMP1	CEMP1			
CEND1	CEND1			
CEND1P1	CEND1P1			
CENPA	CENPA			
CENPB	CENPB			
CENPBD1	CENPBD1			
CENPBD1P1	CENPBD1P1			
CENPC	CENPC			
CENPCP1	CENPCP1			
CENPE	CENPE			
CENPF	CENPF			
CENPH	CENPH			
CENPI	CENPI			
CENPIP1	CENPIP1			
CENPJ	CENPJ			
CENPK	CENPK			
CENPL	CENPL			
CENPM	CENPM			
CENPN	CENPN			
CENPO	CENPO			
CENPP	CENPP			
CENPQ	CENPQ			
CENPT	CENPT			
CENPU	CENPU			
CENPV	CENPV			
CENPVP3	CENPVP3			
CENPW	CENPW			
CEP104	CEP104			
CEP112	CEP112			
CEP120	CEP120			
CEP128	CEP128			
CEP131	CEP131			
CEP135	CEP135			
CEP152	CEP152			
CEP162	CEP162			
CEP164	CEP164			
CEP164P1	CEP164P1			
CEP170	CEP170			
CEP170B	CEP170B			
CEP170P1	CEP170P1			
CEP19	CEP19			
CEP192	CEP192			
CEP250	CEP250			
CEP290	CEP290			
CEP295	CEP295			
CEP350	CEP350			
CEP41	CEP41			
CEP44	CEP44			
CEP55	CEP55			
CEP57	CEP57			
CEP57L1	CEP57L1			
CEP57L1P1	CEP57L1P1			
CEP63	CEP63			
CEP68	CEP68			
CEP70	CEP70			
CEP72	CEP72			
CEP76	CEP76			
CEP78	CEP78			
CEP83	CEP83			
CEP85	CEP85			
CEP85L	CEP85L			
CEP89	CEP89			
CEP95	CEP95			
CEP97	CEP97			
CEPT1	CEPT1			
CER1	CER1			
CERCAM	CERCAM			
CERK	CERK			
CERKL	CERKL			
CERS1	CERS1			
CERS2	CERS2			
CERS3	CERS3			
CERS3-AS1	CERS3-AS1			
CERS4	CERS4			
CERS5	CERS5			
CERS6	CERS6			
CERS6-AS1	CERS6-AS1			
CES1	CES1			
CES1P1	CES1P1			
CES1P2	CES1P2			
CES2	CES2			
CES3	CES3			
CES4A	CES4A			
CES5A	CES5A			
CES5AP1	CES5AP1			
CETN1	CETN1			
CETN2	CETN2			
CETN3	CETN3			
CETN4P	CETN4P			
CETP	CETP			
CFAP126	CFAP126			
CFAP20	CFAP20			
CFAP221	CFAP221			
CFAP36	CFAP36			
CFAP43	CFAP43			
CFAP44	CFAP44			
CFAP44-AS1	CFAP44-AS1			
CFAP45	CFAP45			
CFAP46	CFAP46			
CFAP52	CFAP52			
CFAP53	CFAP53			
CFAP54	CFAP54			
CFAP57	CFAP57			
CFAP58	CFAP58			
CFAP61	CFAP61			
CFAP69	CFAP69			
CFAP70	CFAP70			
CFAP74	CFAP74			
CFAP97	CFAP97			
CFAP99	CFAP99			
CFB	CFB			
CFC1	CFC1			
CFC1B	CFC1B			
CFD	CFD			
CFDP1	CFDP1			
CFH	CFH			
CFHR1	CFHR1			
CFHR2	CFHR2			
CFHR3	CFHR3			
CFHR4	CFHR4			
CFHR5	CFHR5			
CFI	CFI			
CFL1	CFL1			
CFL1P1	CFL1P1			
CFL1P2	CFL1P2			
CFL1P3	CFL1P3			
CFL1P5	CFL1P5			
CFL1P6	CFL1P6			
CFL1P7	CFL1P7			
CFL1P8	CFL1P8			
CFL2	CFL2			
CFLAR	CFLAR			
CFLAR-AS1	CFLAR-AS1			
CFP	CFP			
CFTR	CFTR			
CFTRP1	CFTRP1			
CFTRP3	CFTRP3			
CGA	CGA			
CGB	CGB			
CGB1	CGB1			
CGB2	CGB2			
CGB5	CGB5			
CGB7	CGB7			
CGB8	CGB8			
CGGBP1	CGGBP1			
CGN	CGN			
CGNL1	CGNL1			
CGREF1	CGREF1			
CGRRF1	CGRRF1			
CH17-118O6.2			CH17-118O6.2	
CH17-118O6.3			CH17-118O6.3	
CH17-118O6.4			CH17-118O6.4	
CH17-125A10.1			CH17-125A10.1	
CH17-125A10.2			CH17-125A10.2	
CH17-12M21.1			CH17-12M21.1	
CH17-13I23.1			CH17-13I23.1	
CH17-13I23.2			CH17-13I23.2	
CH17-13I23.3			CH17-13I23.3	
CH17-140K24.2			CH17-140K24.2	
CH17-140K24.3			CH17-140K24.3	
CH17-140K24.4			CH17-140K24.4	
CH17-140K24.5			CH17-140K24.5	
CH17-140K24.6			CH17-140K24.6	
CH17-140K24.8			CH17-140K24.8	
CH17-164J11.1			CH17-164J11.1	
CH17-224D4.1			CH17-224D4.1	
CH17-228N4.2			CH17-228N4.2	
CH17-232I21.1			CH17-232I21.1	
CH17-262O2.1			CH17-262O2.1	
CH17-262O2.2			CH17-262O2.2	
CH17-264B6.4			CH17-264B6.4	
CH17-264L24.1			CH17-264L24.1	
CH17-270A2.2			CH17-270A2.2	
CH17-302M23.1			CH17-302M23.1	
CH17-335B8.4			CH17-335B8.4	
CH17-340M24.3			CH17-340M24.3	
CH17-351M24.1			CH17-351M24.1	
CH17-353B19.1			CH17-353B19.1	
CH17-360D5.2			CH17-360D5.2	
CH17-360D5.3			CH17-360D5.3	
CH17-431G21.1			CH17-431G21.1	
CH17-437K3.1			CH17-437K3.1	
CH17-451C3.1			CH17-451C3.1	
CH17-472G23.2			CH17-472G23.2	
CH17-472G23.4			CH17-472G23.4	
CH17-478G19.2			CH17-478G19.2	
CH17-60O17.1			CH17-60O17.1	
CH17-76K2.6			CH17-76K2.6	
CH25H	CH25H			
CH507-145C22.2			CH507-145C22.2	
CH507-152C13.4			CH507-152C13.4	
CH507-152C13.6			CH507-152C13.6	
CH507-154B10.1			CH507-154B10.1	
CH507-210P18.4			CH507-210P18.4	
CH507-24F1.1			CH507-24F1.1	
CH507-24F1.2			CH507-24F1.2	
CH507-338C24.2			CH507-338C24.2	
CH507-396I9.3			CH507-396I9.3	
CH507-396I9.6			CH507-396I9.6	
CH507-396I9.7			CH507-396I9.7	
CH507-42P11.1			CH507-42P11.1	
CH507-42P11.6			CH507-42P11.6	
CH507-9B2.3			CH507-9B2.3	
CH507-9B2.4			CH507-9B2.4	
CH507-9B2.5			CH507-9B2.5	
CH507-9B2.9			CH507-9B2.9	
CHAC1	CHAC1			
CHAC2	CHAC2			
CHAD	CHAD			
CHADL	CHADL			
CHAF1A	CHAF1A			
CHAF1B	CHAF1B			
CHAMP1	CHAMP1			
CHAT	CHAT			
CHCHD1	CHCHD1			
CHCHD10	CHCHD10			
CHCHD2	CHCHD2			
CHCHD2P1	CHCHD2P1			
CHCHD2P11	CHCHD2P11			
CHCHD2P2	CHCHD2P2			
CHCHD2P3	CHCHD2P3			
CHCHD2P4	CHCHD2P4			
CHCHD2P5	CHCHD2P5			
CHCHD2P6	CHCHD2P6			
CHCHD2P7	CHCHD2P7			
CHCHD2P8	CHCHD2P8			
CHCHD2P9	CHCHD2P9			
CHCHD3	CHCHD3			
CHCHD3P1	CHCHD3P1			
CHCHD3P2	CHCHD3P2			
CHCHD3P3	CHCHD3P3			
CHCHD4	CHCHD4			
CHCHD4P2	CHCHD4P2			
CHCHD4P3	CHCHD4P3			
CHCHD4P4	CHCHD4P4			
CHCHD4P5	CHCHD4P5			
CHCHD5	CHCHD5			
CHCHD6	CHCHD6			
CHCHD7	CHCHD7			
CHD1	CHD1			
CHD1L	CHD1L			
CHD2	CHD2			
CHD3	CHD3			
CHD4	CHD4			
CHD5	CHD5			
CHD6	CHD6			
CHD7	CHD7			
CHD8	CHD8			
CHD9	CHD9			
CHDH	CHDH			
CHEK1	CHEK1			
CHEK2	CHEK2			
CHEK2P2	CHEK2P2			
CHEK2P5	CHEK2P5			
CHERP	CHERP			
CHFR	CHFR			
CHGA	CHGA			
CHGB	CHGB			
CHI3L1	CHI3L1			
CHI3L2	CHI3L2			
CHIA	CHIA			
CHIAP1	CHIAP1			
CHIAP2	CHIAP2			
CHIAP3	CHIAP3			
CHIC1	CHIC1			
CHIC2	CHIC2			
CHID1	CHID1			
CHIT1	CHIT1			
CHKA	CHKA			
CHKB	CHKB			
CHKB-AS1	CHKB-AS1			
CHKB-CPT1B	CHKB-CPT1B			
CHL1	CHL1			
CHL1-AS1	CHL1-AS1			
CHL1-AS2	CHL1-AS2			
CHM	CHM			
CHML	CHML			
CHMP1A	CHMP1A			
CHMP1AP1	CHMP1AP1			
CHMP1B	CHMP1B			
CHMP1B2P	CHMP1B2P			
CHMP2A	CHMP2A			
CHMP2B	CHMP2B			
CHMP3	CHMP3			
CHMP4A	CHMP4A			
CHMP4B	CHMP4B			
CHMP4BP1	CHMP4BP1			
CHMP4C	CHMP4C			
CHMP5	CHMP5			
CHMP6	CHMP6			
CHMP7	CHMP7			
CHN1	CHN1			
CHN2	CHN2			
CHODL	CHODL			
CHODL-AS1	CHODL-AS1			
CHORDC1	CHORDC1			
CHORDC2P	CHORDC2P			
CHP1	CHP1			
CHP2	CHP2			
CHPF	CHPF			
CHPF2	CHPF2			
CHPT1	CHPT1			
chr22-38_28785274-29006793.1				chr22-38_28785274-29006793.1
CHRAC1	CHRAC1			
CHRD	CHRD			
CHRDL1	CHRDL1			
CHRDL2	CHRDL2			
CHRFAM7A	CHRFAM7A			
CHRM1	CHRM1			
CHRM2	CHRM2			
CHRM3	CHRM3			
CHRM3-AS1	CHRM3-AS1			
CHRM3-AS2	CHRM3-AS2			
CHRM4	CHRM4			
CHRM5	CHRM5			
CHRNA1	CHRNA1			
CHRNA10	CHRNA10			
CHRNA2	CHRNA2			
CHRNA3	CHRNA3			
CHRNA4	CHRNA4			
CHRNA5	CHRNA5			
CHRNA6	CHRNA6			
CHRNA7	CHRNA7			
CHRNA9	CHRNA9			
CHRNB1	CHRNB1			
CHRNB2	CHRNB2			
CHRNB3	CHRNB3			
CHRNB4	CHRNB4			
CHRND	CHRND			
CHRNE	CHRNE			
CHRNG	CHRNG			
CHST1	CHST1			
CHST10	CHST10			
CHST11	CHST11			
CHST12	CHST12			
CHST13	CHST13			
CHST14	CHST14			
CHST15	CHST15			
CHST2	CHST2			
CHST3	CHST3			
CHST4	CHST4			
CHST5	CHST5			
CHST6	CHST6			
CHST7	CHST7			
CHST8	CHST8			
CHST9	CHST9			
CHSY1	CHSY1			
CHSY3	CHSY3			
CHTF18	CHTF18			
CHTF8	CHTF8			
CHTF8P1	CHTF8P1			
CHTOP	CHTOP			
CHUK	CHUK			
CHURC1	CHURC1			
CHURC1-FNTB	CHURC1-FNTB			
CIAO1	CIAO1			
CIAPIN1	CIAPIN1			
CIAPIN1P	CIAPIN1P			
CIART	CIART			
CIB1	CIB1			
CIB2	CIB2			
CIB3	CIB3			
CIB4	CIB4			
CIC	CIC			
CICP1	CICP1			
CICP10	CICP10			
CICP11	CICP11			
CICP12	CICP12			
CICP13	CICP13			
CICP14	CICP14			
CICP16	CICP16			
CICP17	CICP17			
CICP2	CICP2			
CICP20	CICP20			
CICP22	CICP22			
CICP23	CICP23			
CICP24	CICP24			
CICP26	CICP26			
CICP27	CICP27			
CICP3	CICP3			
CICP4	CICP4			
CICP5	CICP5			
CICP7	CICP7			
CICP8	CICP8			
CICP9	CICP9			
CIDEA	CIDEA			
CIDEB	CIDEB			
CIDEC	CIDEC			
CIDECP	CIDECP			
CIITA	CIITA			
CILP	CILP			
CILP2	CILP2			
CINP	CINP			
CIPC	CIPC			
CIR1	CIR1			
CIR1P1	CIR1P1			
CIR1P2	CIR1P2			
CIR1P3	CIR1P3			
CIRBP	CIRBP			
CIRBP-AS1	CIRBP-AS1			
CIRH1A	CIRH1A			
CISD1	CISD1			
CISD1P1	CISD1P1			
CISD2	CISD2			
CISD3	CISD3			
CISH	CISH			
CISTR	CISTR			
CIT	CIT			
CITED1	CITED1			
CITED2	CITED2			
CITED4	CITED4			
CITF22-1A6.3			CITF22-1A6.3	
CITF22-49D8.1			CITF22-49D8.1	
CITF22-62D4.1			CITF22-62D4.1	
CIZ1	CIZ1			
CKAP2	CKAP2			
CKAP2L	CKAP2L			
CKAP2P1	CKAP2P1			
CKAP4	CKAP4			
CKAP5	CKAP5			
CKB	CKB			
CKBP1	CKBP1			
CKLF	CKLF			
CKLF-CMTM1	CKLF-CMTM1			
CKM	CKM			
CKMT1A	CKMT1A			
CKMT1B	CKMT1B			
CKMT2	CKMT2			
CKMT2-AS1	CKMT2-AS1			
CKS1B	CKS1B			
CKS1BP3	CKS1BP3			
CKS1BP6	CKS1BP6			
CKS1BP7	CKS1BP7			
CKS2	CKS2			
CLASP1	CLASP1			
CLASP2	CLASP2			
CLASRP	CLASRP			
CLC	CLC			
CLCA1	CLCA1			
CLCA2	CLCA2			
CLCA3P	CLCA3P			
CLCA4	CLCA4			
CLCC1	CLCC1			
CLCF1	CLCF1			
CLCN1	CLCN1			
CLCN2	CLCN2			
CLCN3	CLCN3			
CLCN3P1	CLCN3P1			
CLCN4	CLCN4			
CLCN5	CLCN5			
CLCN6	CLCN6			
CLCN7	CLCN7			
CLCNKA	CLCNKA			
CLCNKB	CLCNKB			
CLCP1	CLCP1			
CLCP2	CLCP2			
CLDN1	CLDN1			
CLDN10	CLDN10			
CLDN10-AS1	CLDN10-AS1			
CLDN11	CLDN11			
CLDN12	CLDN12			
CLDN14	CLDN14			
CLDN15	CLDN15			
CLDN16	CLDN16			
CLDN17	CLDN17			
CLDN18	CLDN18			
CLDN19	CLDN19			
CLDN2	CLDN2			
CLDN20	CLDN20			
CLDN22	CLDN22			
CLDN23	CLDN23			
CLDN24	CLDN24			
CLDN25	CLDN25			
CLDN3	CLDN3			
CLDN4	CLDN4			
CLDN5	CLDN5			
CLDN6	CLDN6			
CLDN7	CLDN7			
CLDN8	CLDN8			
CLDN9	CLDN9			
CLDND1	CLDND1			
CLDND2	CLDND2			
CLEC10A	CLEC10A			
CLEC11A	CLEC11A			
CLEC12A	CLEC12A			
CLEC12B	CLEC12B			
CLEC14A	CLEC14A			
CLEC16A	CLEC16A			
CLEC17A	CLEC17A			
CLEC18A	CLEC18A			
CLEC18B	CLEC18B			
CLEC19A	CLEC19A			
CLEC1A	CLEC1A			
CLEC1B	CLEC1B			
CLEC2A	CLEC2A			
CLEC2B	CLEC2B			
CLEC2D	CLEC2D			
CLEC2L	CLEC2L			
CLEC3A	CLEC3A			
CLEC3B	CLEC3B			
CLEC4A	CLEC4A			
CLEC4C	CLEC4C			
CLEC4D	CLEC4D			
CLEC4E	CLEC4E			
CLEC4F	CLEC4F			
CLEC4G	CLEC4G			
CLEC4GP1	CLEC4GP1			
CLEC4M	CLEC4M			
CLEC5A	CLEC5A			
CLEC6A	CLEC6A			
CLEC7A	CLEC7A			
CLEC9A	CLEC9A			
CLECL1	CLECL1			
CLGN	CLGN			
CLHC1	CLHC1			
CLIC1	CLIC1			
CLIC1P1	CLIC1P1			
CLIC2	CLIC2			
CLIC3	CLIC3			
CLIC4	CLIC4			
CLIC4P1	CLIC4P1			
CLIC4P3	CLIC4P3			
CLIC5	CLIC5			
CLIC6	CLIC6			
CLINT1	CLINT1			
CLIP1	CLIP1			
CLIP1-AS1	CLIP1-AS1			
CLIP2	CLIP2			
CLIP3	CLIP3			
CLIP4	CLIP4			
CLK1	CLK1			
CLK2	CLK2			
CLK3	CLK3			
CLK3P2	CLK3P2			
CLK4	CLK4			
CLLU1OS	CLLU1OS			
CLMN	CLMN			
CLMP	CLMP			
CLN3	CLN3			
CLN5	CLN5			
CLN6	CLN6			
CLN8	CLN8			
CLNK	CLNK			
CLNS1A	CLNS1A			
CLNS1AP1	CLNS1AP1			
CLOCK	CLOCK			
CLP1	CLP1			
CLPB	CLPB			
CLPP	CLPP			
CLPS	CLPS			
CLPSL1	CLPSL1			
CLPSL2	CLPSL2			
CLPTM1	CLPTM1			
CLPTM1L	CLPTM1L			
CLPX	CLPX			
CLRN1	CLRN1			
CLRN1-AS1	CLRN1-AS1			
CLRN2	CLRN2			
CLRN3	CLRN3			
CLSPN	CLSPN			
CLSTN1	CLSTN1			
CLSTN2	CLSTN2			
CLSTN2-AS1	CLSTN2-AS1			
CLSTN3	CLSTN3			
CLTA	CLTA			
CLTB	CLTB			
CLTC	CLTC			
CLTCL1	CLTCL1			
CLU	CLU			
CLUAP1	CLUAP1			
CLUH	CLUH			
CLUHP1	CLUHP1			
CLUHP3	CLUHP3			
CLUHP5	CLUHP5			
CLUL1	CLUL1			
CLVS1	CLVS1			
CLVS2	CLVS2			
CLYBL	CLYBL			
CLYBL-AS1	CLYBL-AS1			
CLYBL-AS2	CLYBL-AS2			
CMA1	CMA1			
CMAHP	CMAHP			
CMAS	CMAS			
CMB9-14B22.1			CMB9-14B22.1	
CMB9-22P13.1			CMB9-22P13.1	
CMB9-22P13.2			CMB9-22P13.2	
CMB9-55F22.1			CMB9-55F22.1	
CMB9-94B1.2			CMB9-94B1.2	
CMBL	CMBL			
CMC1	CMC1			
CMC2	CMC2			
CMC4	CMC4			
CMIP	CMIP			
CMKLR1	CMKLR1			
CMPK1	CMPK1			
CMPK2	CMPK2			
CMSS1	CMSS1			
CMTM1	CMTM1			
CMTM2	CMTM2			
CMTM3	CMTM3			
CMTM4	CMTM4			
CMTM5	CMTM5			
CMTM6	CMTM6			
CMTM7	CMTM7			
CMTM8	CMTM8			
CMTR1	CMTR1			
CMTR2	CMTR2			
CMYA5	CMYA5			
CNBD1	CNBD1			
CNBD2	CNBD2			
CNBP	CNBP			
CNDP1	CNDP1			
CNDP2	CNDP2			
CNEP1R1	CNEP1R1			
CNFN	CNFN			
CNGA1	CNGA1			
CNGA2	CNGA2			
CNGA3	CNGA3			
CNGA4	CNGA4			
CNGB1	CNGB1			
CNGB3	CNGB3			
CNIH1	CNIH1			
CNIH2	CNIH2			
