ID	ORF	GenBank	CLONE_ID	SPOT_ID
AC002401.1		AC002401.1		AC002401.1
AC002407.1		AC002407.1		AC002407.1
AC002429.5		AC002429.5		AC002429.5
AC002451.3		AC002451.3		AC002451.3
AC002454.1		AC002454.1		AC002454.1
AC002456.2		AC002456.2		AC002456.2
AC002463.3		AC002463.3		AC002463.3
AC002465.2		AC002465.2		AC002465.2
AC002467.7		AC002467.7		AC002467.7
AC002480.2		AC002480.2		AC002480.2
AC002480.3		AC002480.3		AC002480.3
AC002480.4		AC002480.4		AC002480.4
AC002480.5		AC002480.5		AC002480.5
AC002486.3		AC002486.3		AC002486.3
AC002511.2		AC002511.2		AC002511.2
AC002511.3		AC002511.3		AC002511.3
AC002519.6		AC002519.6		AC002519.6
AC002519.8		AC002519.8		AC002519.8
AC002523.1		AC002523.1		AC002523.1
AC002539.1		AC002539.1		AC002539.1
AC002543.2		AC002543.2		AC002543.2
AC002550.5		AC002550.5		AC002550.5
AC002550.6		AC002550.6		AC002550.6
AC002553.4		AC002553.4		AC002553.4
AC002985.3		AC002985.3		AC002985.3
AC003002.4		AC003002.4		AC003002.4
AC003002.6		AC003002.6		AC003002.6
AC003003.5		AC003003.5		AC003003.5
AC003005.2		AC003005.2		AC003005.2
AC003005.4		AC003005.4		AC003005.4
AC003006.7		AC003006.7		AC003006.7
AC003009.1		AC003009.1		AC003009.1
AC003045.1		AC003045.1		AC003045.1
AC003075.4		AC003075.4		AC003075.4
AC003080.4		AC003080.4		AC003080.4
AC003084.2		AC003084.2		AC003084.2
AC003090.1		AC003090.1		AC003090.1
AC003092.1		AC003092.1		AC003092.1
AC003092.2		AC003092.2		AC003092.2
AC003101.1		AC003101.1		AC003101.1
AC003104.1		AC003104.1		AC003104.1
AC003664.1		AC003664.1		AC003664.1
AC003682.16		AC003682.16		AC003682.16
AC003682.17		AC003682.17		AC003682.17
AC003688.1		AC003688.1		AC003688.1
AC003956.1		AC003956.1		AC003956.1
AC003958.2		AC003958.2		AC003958.2
AC003958.6		AC003958.6		AC003958.6
AC003973.1		AC003973.1		AC003973.1
AC003973.3		AC003973.3		AC003973.3
AC003973.4		AC003973.4		AC003973.4
AC003984.1		AC003984.1		AC003984.1
AC003985.1		AC003985.1		AC003985.1
AC003986.5		AC003986.5		AC003986.5
AC003986.6		AC003986.6		AC003986.6
AC003986.7		AC003986.7		AC003986.7
AC003988.1		AC003988.1		AC003988.1
AC003989.3		AC003989.3		AC003989.3
AC003989.4		AC003989.4		AC003989.4
AC003991.3		AC003991.3		AC003991.3
AC004006.2		AC004006.2		AC004006.2
AC004009.1		AC004009.1		AC004009.1
AC004009.2		AC004009.2		AC004009.2
AC004012.1		AC004012.1		AC004012.1
AC004014.4		AC004014.4		AC004014.4
AC004019.10		AC004019.10		AC004019.10
AC004019.13		AC004019.13		AC004019.13
AC004022.8		AC004022.8		AC004022.8
AC004041.2		AC004041.2		AC004041.2
AC004051.2		AC004051.2		AC004051.2
AC004053.1		AC004053.1		AC004053.1
AC004054.1		AC004054.1		AC004054.1
AC004057.1		AC004057.1		AC004057.1
AC004062.2		AC004062.2		AC004062.2
AC004063.1		AC004063.1		AC004063.1
AC004066.2		AC004066.2		AC004066.2
AC004069.1		AC004069.1		AC004069.1
AC004070.1		AC004070.1		AC004070.1
AC004076.5		AC004076.5		AC004076.5
AC004076.7		AC004076.7		AC004076.7
AC004076.9		AC004076.9		AC004076.9
AC004112.4		AC004112.4		AC004112.4
AC004112.7		AC004112.7		AC004112.7
AC004125.3		AC004125.3		AC004125.3
AC004129.7		AC004129.7		AC004129.7
AC004129.9		AC004129.9		AC004129.9
AC004156.3		AC004156.3		AC004156.3
AC004158.3		AC004158.3		AC004158.3
AC004159.1		AC004159.1		AC004159.1
AC004166.6		AC004166.6		AC004166.6
AC004221.2		AC004221.2		AC004221.2
AC004231.2		AC004231.2		AC004231.2
AC004237.1		AC004237.1		AC004237.1
AC004381.6		AC004381.6		AC004381.6
AC004381.7		AC004381.7		AC004381.7
AC004386.4		AC004386.4		AC004386.4
AC004447.2		AC004447.2		AC004447.2
AC004448.2		AC004448.2		AC004448.2
AC004448.5		AC004448.5		AC004448.5
AC004449.6		AC004449.6		AC004449.6
AC004453.8		AC004453.8		AC004453.8
AC004461.4		AC004461.4		AC004461.4
AC004471.10		AC004471.10		AC004471.10
AC004485.3		AC004485.3		AC004485.3
AC004490.1		AC004490.1		AC004490.1
AC004510.3		AC004510.3		AC004510.3
AC004535.2		AC004535.2		AC004535.2
AC004538.3		AC004538.3		AC004538.3
AC004540.4		AC004540.4		AC004540.4
AC004540.5		AC004540.5		AC004540.5
AC004543.2		AC004543.2		AC004543.2
AC004549.6		AC004549.6		AC004549.6
AC004593.3		AC004593.3		AC004593.3
AC004603.4		AC004603.4		AC004603.4
AC004623.2		AC004623.2		AC004623.2
AC004623.3		AC004623.3		AC004623.3
AC004637.1		AC004637.1		AC004637.1
AC004687.1		AC004687.1		AC004687.1
AC004691.5		AC004691.5		AC004691.5
AC004692.4		AC004692.4		AC004692.4
AC004692.5		AC004692.5		AC004692.5
AC004744.3		AC004744.3		AC004744.3
AC004754.3		AC004754.3		AC004754.3
AC004775.5		AC004775.5		AC004775.5
AC004791.2		AC004791.2		AC004791.2
AC004837.3		AC004837.3		AC004837.3
AC004837.4		AC004837.4		AC004837.4
AC004837.5		AC004837.5		AC004837.5
AC004840.8		AC004840.8		AC004840.8
AC004854.4		AC004854.4		AC004854.4
AC004862.6		AC004862.6		AC004862.6
AC004866.3		AC004866.3		AC004866.3
AC004869.2		AC004869.2		AC004869.2
AC004869.3		AC004869.3		AC004869.3
AC004870.3		AC004870.3		AC004870.3
AC004870.4		AC004870.4		AC004870.4
AC004870.5		AC004870.5		AC004870.5
AC004893.10		AC004893.10		AC004893.10
AC004893.11		AC004893.11		AC004893.11
AC004895.4		AC004895.4		AC004895.4
AC004899.3		AC004899.3		AC004899.3
AC004901.1		AC004901.1		AC004901.1
AC004906.3		AC004906.3		AC004906.3
AC004911.2		AC004911.2		AC004911.2
AC004938.5		AC004938.5		AC004938.5
AC004941.3		AC004941.3		AC004941.3
AC004945.1		AC004945.1		AC004945.1
AC004947.2		AC004947.2		AC004947.2
AC004951.5		AC004951.5		AC004951.5
AC004951.6		AC004951.6		AC004951.6
AC004967.7		AC004967.7		AC004967.7
AC004980.11		AC004980.11		AC004980.11
AC004980.7		AC004980.7		AC004980.7
AC004980.8		AC004980.8		AC004980.8
AC004980.9		AC004980.9		AC004980.9
AC004985.12		AC004985.12		AC004985.12
AC004987.10		AC004987.10		AC004987.10
AC004987.9		AC004987.9		AC004987.9
AC004988.1		AC004988.1		AC004988.1
AC005007.3		AC005007.3		AC005007.3
AC005008.2		AC005008.2		AC005008.2
AC005008.3		AC005008.3		AC005008.3
AC005009.1		AC005009.1		AC005009.1
AC005009.2		AC005009.2		AC005009.2
AC005013.5		AC005013.5		AC005013.5
AC005014.5		AC005014.5		AC005014.5
AC005017.2		AC005017.2		AC005017.2
AC005019.2		AC005019.2		AC005019.2
AC005019.3		AC005019.3		AC005019.3
AC005027.3		AC005027.3		AC005027.3
AC005033.6		AC005033.6		AC005033.6
AC005034.2		AC005034.2		AC005034.2
AC005037.3		AC005037.3		AC005037.3
AC005041.11		AC005041.11		AC005041.11
AC005042.2		AC005042.2		AC005042.2
AC005042.3		AC005042.3		AC005042.3
AC005042.4		AC005042.4		AC005042.4
AC005042.5		AC005042.5		AC005042.5
AC005062.2		AC005062.2		AC005062.2
AC005076.5		AC005076.5		AC005076.5
AC005077.12		AC005077.12		AC005077.12
AC005077.14		AC005077.14		AC005077.14
AC005077.5		AC005077.5		AC005077.5
AC005077.7		AC005077.7		AC005077.7
AC005077.8		AC005077.8		AC005077.8
AC005082.12		AC005082.12		AC005082.12
AC005083.1		AC005083.1		AC005083.1
AC005094.2		AC005094.2		AC005094.2
