""	"probe_id"	"symbol"
"423925"	"ILMN_1651776"	"FHOD1"
"423926"	"ILMN_1651787"	"MSH5"
"423927"	"ILMN_1651788"	"MAP3K11"
"423928"	"ILMN_1651792"	"RORC"
"423929"	"ILMN_1651799"	"SLC38A2"
"423930"	"ILMN_1651800"	"GSTM4"
"423931"	"ILMN_1651806"	"TIPARP-AS1"
"423932"	"ILMN_1651817"	"GRIK1"
"423933"	"ILMN_1651819"	"GALNT11"
"423934"	"ILMN_1651826"	"BASP1"
"423935"	"ILMN_1651828"	"CCT3"
"423936"	"ILMN_1651832"	"EHD1"
"423937"	"ILMN_1651838"	"RND1"
"423938"	"ILMN_1651843"	"CHTF8"
"423939"	"ILMN_1651846"	"EML6"
"423940"	"ILMN_1651848"	"ITSN1"
"423941"	"ILMN_1651849"	"SLC1A6"
"423942"	"ILMN_1651850"	"RPS16"
"423943"	"ILMN_1651872"	"UBIAD1"
"423944"	"ILMN_1651878"	"EVC"
"423945"	"ILMN_1651899"	"RPL19"
"423946"	"ILMN_1651900"	"KCNA4"
"423947"	"ILMN_1651902"	"RASL11A"
"423948"	"ILMN_1651916"	"OCLN"
"423949"	"ILMN_1651936"	"KMT5A"
"423950"	"ILMN_1651940"	"OR6C76"
"423951"	"ILMN_1651942"	"CDC25B"
"423952"	"ILMN_1651943"	"ANK3"
"423953"	"ILMN_1651949"	"SCYL3"
"423954"	"ILMN_1651950"	"TPST1"
"423955"	"ILMN_1651958"	"MGP"
"423956"	"ILMN_1651964"	"ABCC5"
"423957"	"ILMN_1651966"	"FGFR3"
"423958"	"ILMN_1651967"	"TP53I3"
"423959"	"ILMN_1651980"	"GOLGA6L1"
"423960"	"ILMN_1651987"	"CCDC167"
"423961"	"ILMN_1652006"	"SMC1A"
"423962"	"ILMN_1652008"	"KNSTRN"
"423963"	"ILMN_1652014"	"TGM7"
"423964"	"ILMN_1652015"	"LINC00889"
"423965"	"ILMN_1652017"	"PPEF1"
"423966"	"ILMN_1652022"	"DHX57"
"423967"	"ILMN_1652023"	"AGFG2"
