""	"ID"	"symbol"
"1"	"GE_BrightCorner"	""
"2"	"DarkCorner"	""
"3"	"mmu_6519_PI428960544"	""
"4"	"A_30_P01029312"	""
"5"	"A_30_P01032624"	""
"6"	"mmu_23815_PI428960544"	""
"7"	"mmu_31038_PI428960544"	""
"8"	"A_30_P01033520"	""
"9"	"mmu_29039_PI428960544"	""
"10"	"A_55_P2101992"	"Olfr1107"
"11"	"mmu_19925_PI428960544"	""
"12"	"A_30_P01018730"	""
"13"	"A_51_P340829"	"AA986860"
"14"	"A_55_P1975245"	"3110047P20Rik"
"15"	"mmu_24631_PI428960544"	""
"16"	"A_51_P133612"	"Cdt1"
"17"	"A_30_P01027889"	""
"18"	"A_55_P2085311"	"Nxph4"
"19"	"A_55_P2088910"	""
"20"	"mmu_19897_PI428960544"	""
"21"	"A_55_P2414679"	""
"22"	"mmu_31737_PI428960544"	""
"23"	"A_55_P2109539"	"Trnt1"
"24"	"mmu_1461_PI428994341"	""
"25"	"A_55_P2165078"	"Vmn2r24"
"26"	"A_55_P2097264"	"Pth2"
"27"	"mmu_20188_PI428960544"	""
"28"	"mmu_22072_PI428960544"	""
"29"	"mmu_23609_PI428960544"	""
"30"	"A_55_P2317929"	""
"31"	"A_30_P01029147"	""
"32"	"A_30_P01028324"	""
"33"	"mmu_12401_PI428960544"	""
"34"	"A_55_P2175190"	"Cep250"
"35"	"A_52_P504159"	""
"36"	"mmu_16924_PI428960544"	""
"37"	"mmu_14244_PI428960544"	""
"38"	"mmu_5491_PI428960544"	""
"39"	"mmu_5880_PI428960544"	""
"40"	"A_30_P01021258"	""
"41"	"A_55_P2104332"	"Pxdn"
"42"	"A_55_P1961270"	"Cd72"
"43"	"mmu_5436_PI428960544"	""
"44"	"mmu_4437_PI428960544"	""
"45"	"mmu_34850_PI428960544"	""
"46"	"mmu_9293_PI428990136"	""
"47"	"A_55_P2040357"	"Bola1"
"48"	"A_55_P2077866"	"Nktr"
"49"	"mmu_30328_PI428960544"	""
"50"	"A_30_P01031780"	""
"51"	"A_55_P2062480"	""
"52"	"A_51_P333099"	"Mrps15"
"53"	"mmu_12404_PI428960544"	""
"54"	"A_51_P158552"	"Zscan12"
"55"	"A_30_P01029173"	""
"56"	"A_51_P180176"	"Gm16223"
"57"	"mmu_21479_PI428960544"	""
"58"	"A_30_P01024000"	""
"59"	"mmu_20590_PI428960544"	""
"60"	"mmu_22868_PI428960544"	""
"61"	"mmu_20611_PI428960544"	""
"62"	"A_30_P01029839"	""
"63"	"mmu_22618_PI428960544"	""
"64"	"mmu_14524_PI428960544"	""
"65"	"A_30_P01018884"	""
"66"	"mmu_14838_PI428960544"	""
"67"	"A_51_P210877"	"Pcnp"
"68"	"mmu_9562_PI428990136"	""
"69"	"A_55_P2279498"	"4933438K21Rik"
"70"	"mmu_18133_PI428960544"	""
"71"	"mmu_16349_PI428960544"	""
"72"	"A_30_P01027621"	""
"73"	"mmu_25635_PI428960544"	""
"74"	"A_52_P270035"	"Tspyl2"
"75"	"A_30_P01019775"	""
"76"	"A_51_P403334"	"Cuedc2"
"77"	"mmu_1691_PI428994341"	""
"78"	"A_30_P01022736"	""
"79"	"A_30_P01023241"	""
"80"	"mmu_1475_PI428960544"	""
"81"	"mmu_26156_PI428960544"	""
"82"	"mmu_8411_PI428960544"	""
"83"	"mmu_12619_PI428960544"	""
"84"	"A_52_P246703"	"Ak7"
"85"	"A_55_P2088535"	"Snrpd2"
"86"	"A_55_P2109003"	"Gm4117"
"87"	"A_55_P2103884"	"Gm3258"
"88"	"mmu_26071_PI428960544"	""
"89"	"mmu_33882_PI428960544"	""
"90"	"mmu_23835_PI428960544"	""
"91"	"A_55_P2146683"	"Gm4657"
"92"	"A_30_P01017533"	""
"93"	"A_30_P01027931"	""
"94"	"mmu_4148_PI428960544"	""
"95"	"mmu_16167_PI428960544"	""
"96"	"A_30_P01018359"	""
"97"	"mmu_29663_PI428960544"	""
"98"	"mmu_5330_PI428960544"	""
"99"	"A_30_P01027649"	""
"100"	"A_51_P145220"	"Nefm"
"101"	"mmu_24739_PI428960544"	""
"102"	"A_55_P2164040"	"Tada2b"
"103"	"mmu_66_PI428960544"	""
"104"	"A_55_P2023707"	"Camta1"
"105"	"mmu_5559_PI428960544"	""
"106"	"A_55_P1973904"	"AI606181"
"107"	"A_30_P01030336"	""
"108"	"mmu_2564_PI428960544"	""
"109"	"A_30_P01030480"	""
"110"	"A_30_P01032099"	""
"111"	"A_30_P01025068"	""
"112"	"A_30_P01021819"	""
"113"	"(-)3xSLv1"	""
"114"	"A_55_P2127030"	"Olfr820"
"115"	"mmu_8775_PI428960544"	""
"116"	"A_52_P5549"	"Fam133b"
"117"	"mmu_26026_PI428960544"	""
"118"	"mmu_14311_PI428960544"	""
"119"	"A_30_P01032497"	""
"120"	"A_52_P10732"	"Map6"
"121"	"A_30_P01027018"	""
"122"	"A_30_P01030231"	""
"123"	"A_51_P472393"	"4930426D05Rik"
"124"	"A_55_P2348241"	"4933417O13Rik"
"125"	"A_55_P2044439"	"Mfng"
"126"	"A_30_P01021956"	""
"127"	"A_52_P319066"	"Mex3b"
"128"	"mmu_9222_PI428960544"	""
"129"	"A_55_P2017476"	"Nfyb"
"130"	"mmu_383_PI428960544"	""
"131"	"mmu_13117_PI428960544"	""
"132"	"A_30_P01030093"	""
"133"	"A_52_P297332"	"Aida"
"134"	"mmu_6198_PI428960544"	""
"135"	"A_30_P01025702"	""
"136"	"A_51_P200776"	"Grsf1"
"137"	"mmu_24672_PI428960544"	""
"138"	"mmu_25457_PI428960544"	""
"139"	"A_30_P01028675"	""
"140"	"A_52_P437230"	"Rbx1"
"141"	"mmu_20048_PI428960544"	""
"142"	"mmu_30518_PI428960544"	""
"143"	"mmu_24465_PI428960544"	""
"144"	"mmu_11881_PI428960544"	""
"145"	"A_30_P01028753"	""
"146"	"A_55_P2187243"	"Olfr426"
"147"	"A_55_P2096702"	""
"148"	"A_55_P2043108"	"Exoc4"
"149"	"A_55_P2140121"	"Gm5129"
"150"	"A_55_P2014520"	"Zfp787"
"151"	"A_52_P554382"	""
"152"	"A_30_P01029777"	""
"153"	"A_30_P01018652"	""
"154"	"A_30_P01031204"	""
"155"	"A_51_P461822"	"Svs4"
"156"	"mmu_19911_PI428960544"	""
"157"	"mmu_10520_PI428960544"	""
"158"	"mmu_11671_PI428960544"	""
"159"	"A_30_P01021837"	""
"160"	"A_51_P372172"	"Plod3"
"161"	"mmu_27659_PI428960544"	""
"162"	"mmu_1397_PI428960544"	""
"163"	"mmu_23193_PI428960544"	""
"164"	"A_30_P01022206"	""
"165"	"A_55_P1958991"	"A530032D15Rik"
"166"	"A_30_P01025497"	""
"167"	"mmu_17255_PI428960544"	""
"168"	"A_55_P1997429"	"Cwc22"
"169"	"A_55_P2152946"	"Scaf8"
"170"	"A_51_P416869"	"Nedd8"
"171"	"mmu_23749_PI428960544"	""
"172"	"mmu_21379_PI428960544"	""
"173"	"mmu_29584_PI428960544"	""
"174"	"mmu_13937_PI428960544"	""
"175"	"A_51_P358872"	"Disc1"
"176"	"mmu_4815_PI428960544"	""
"177"	"mmu_9216_PI428960544"	""
"178"	"A_30_P01023829"	""
"179"	"A_30_P01031518"	""
"180"	"A_30_P01029952"	""
"181"	"A_30_P01029849"	""
"182"	"A_55_P2302383"	"3300002A11Rik"
"183"	"mmu_5802_PI428960544"	""
"184"	"A_30_P01032216"	""
"185"	"A_55_P1999838"	"Cox7c"
"186"	"A_30_P01030695"	""
"187"	"A_55_P2150578"	"Camk2b"
"188"	"mmu_8540_PI428980890"	""
"189"	"A_55_P2124016"	"Nipsnap1"
"190"	"A_66_P130906"	"Dcaf7"
"191"	"A_30_P01020909"	""
"192"	"mmu_15682_PI428960544"	""
"193"	"mmu_14472_PI428960544"	""
"194"	"A_55_P2239848"	"2310061J03Rik"
"195"	"A_30_P01020731"	""
"196"	"mmu_11115_PI428960544"	""
"197"	"A_66_P120995"	"Htr2a"
"198"	"A_30_P01032469"	""
"199"	"A_30_P01027326"	""
"200"	"mmu_35549_PI428960544"	""
"201"	"A_52_P407854"	"Dda1"
"202"	"mmu_4007_PI428960544"	""
"203"	"A_51_P497563"	"Vps18"
"204"	"mmu_27570_PI428960544"	""
"205"	"A_51_P210732"	"Vmn1r82"
"206"	"A_55_P2128363"	"Olfr1367"
"207"	"A_51_P242201"	"Naaa"
"208"	"A_55_P1983688"	"1700012B07Rik"
"209"	"A_55_P1988922"	""
"210"	"mmu_9743_PI428960544"	""
"211"	"mmu_32240_PI428960544"	""
"212"	"mmu_24375_PI428960544"	""
"213"	"mmu_5517_PI428960544"	""
"214"	"mmu_11647_PI428960544"	""
"215"	"A_55_P2107225"	"Sult2a6"
"216"	"A_30_P01028076"	""
"217"	"mmu_2757_PI428960544"	""
"218"	"A_55_P2052116"	""
"219"	"A_55_P2233296"	"6720456H20Rik"
"220"	"A_30_P01022145"	""
